,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,32000000.0,28000000.0,25000000.0,20000000.0,15000000.0,15000000.0,19000000.0,19000000.0,67000000.0,62000000.0
Capital Surplus,6597000000.0,6605000000.0,6611000000.0,6629000000.0,6634000000.0,6639000000.0,6646000000.0,6656000000.0,6665000000.0,6675000000.0
Total Liab,17170000000.0,17142000000.0,17269000000.0,17364000000.0,17432000000.0,17463000000.0,17811000000.0,17570000000.0,17844000000.0,17688000000.0
Total Stockholder Equity,3720000000.0,3199000000.0,2973000000.0,2673000000.0,2491000000.0,2102000000.0,1996000000.0,4529000000.0,4191000000.0,3900000000.0
Minority Interest,805000000.0,641000000.0,565000000.0,504000000.0,455000000.0,327000000.0,252000000.0,148000000.0,24000000.0,-119000000.0
Deferred Long Term Liab,95000000.0,94000000.0,91000000.0,92000000.0,86000000.0,88000000.0,81000000.0,83000000.0,73000000.0,64000000.0
Other Current Liab,557000000.0,429000000.0,1254000000.0,1016000000.0,1053000000.0,1075000000.0,1624000000.0,907000000.0,640000000.0,501000000.0
Total Assets,21695000000.0,20982000000.0,20807000000.0,20541000000.0,20378000000.0,19892000000.0,20059000000.0,22247000000.0,22059000000.0,21469000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Retained Earnings,1677000000.0,1112000000.0,813000000.0,535000000.0,343000000.0,-25000000.0,-148000000.0,2382000000.0,2092000000.0,1853000000.0
Other Liab,1028000000.0,1047000000.0,735000000.0,525000000.0,515000000.0,514000000.0,371000000.0,526000000.0,515000000.0,518000000.0
Treasury Stock,-4555000000.0,-4519000000.0,-4452000000.0,-4492000000.0,-4487000000.0,-4513000000.0,-4503000000.0,-4510000000.0,-4567000000.0,-4629000000.0
Other Assets,2980000000.0,3004000000.0,2851000000.0,2766000000.0,2758000000.0,2717000000.0,2656000000.0,3794000000.0,3724000000.0,3916000000.0
Cash,3016000000.0,2381000000.0,2121000000.0,2074000000.0,2057000000.0,1644000000.0,1854000000.0,6430000000.0,6452000000.0,5836000000.0
Total Current Liabilities,2375000000.0,2255000000.0,2309000000.0,2465000000.0,2542000000.0,2487000000.0,2565000000.0,2139000000.0,2023000000.0,3391000000.0
Deferred Long Term Asset Charges,308000000.0,327000000.0,318000000.0,327000000.0,338000000.0,325000000.0,297000000.0,186000000.0,189000000.0,165000000.0
Short Long Term Debt,71000000.0,72000000.0,63000000.0,72000000.0,75000000.0,73000000.0,64000000.0,72000000.0,73000000.0,1514000000.0
Other Stockholder Equity,-74000000.0,-38000000.0,29000000.0,-11000000.0,-6000000.0,-32000000.0,-22000000.0,-29000000.0,-86000000.0,-148000000.0
Property Plant Equipment,14911000000.0,14992000000.0,15287000000.0,12125000000.0,12028000000.0,11932000000.0,11874000000.0,11709000000.0,11498000000.0,11284000000.0
Total Current Assets,3772000000.0,2958000000.0,2644000000.0,5630000000.0,5577000000.0,5228000000.0,5510000000.0,6725000000.0,6770000000.0,6207000000.0
Net Tangible Assets,3688000000.0,3171000000.0,2948000000.0,2653000000.0,2476000000.0,2087000000.0,1977000000.0,4510000000.0,4124000000.0,3838000000.0
Net Receivables,567000000.0,382000000.0,338000000.0,205000000.0,160000000.0,167000000.0,202000000.0,147000000.0,158000000.0,210000000.0
Long Term Debt,13745000000.0,13818000000.0,13919000000.0,14374000000.0,14375000000.0,14462000000.0,14706000000.0,14905000000.0,15284000000.0,13758000000.0
Inventory,37000000.0,34000000.0,32000000.0,23000000.0,22000000.0,22000000.0,22000000.0,23000000.0,24000000.0,23000000.0
Accounts Payable,64000000.0,70000000.0,98000000.0,70000000.0,69000000.0,74000000.0,77000000.0,69000000.0,76000000.0,91000000.0
Other Current Assets,16000000.0,17000000.0,16000000.0,3209000000.0,3230000000.0,3271000000.0,3319000000.0,16000000.0,16000000.0,
