,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,1120000000.0,991000000.0,1417000000.0,1753000000.0,3671000000.0
Capital Surplus,4365000000.0,4580000000.0,4787000000.0,4982000000.0,5061000000.0
Total Liab,15761000000.0,19371000000.0,23245000000.0,27067000000.0,30257000000.0
Total Stockholder Equity,5468000000.0,5395000000.0,5893000000.0,6391000000.0,7312000000.0
Minority Interest,100000000.0,94000000.0,98000000.0,126000000.0,100000000.0
Deferred Long Term Liab,1434000000.0,2458000000.0,2838000000.0,3220000000.0,3798000000.0
Other Current Liab,4123000000.0,5964000000.0,6149000000.0,5320000000.0,5197000000.0
Total Assets,21329000000.0,24860000000.0,29236000000.0,33584000000.0,37669000000.0
Other Current Assets,2677000000.0,3065000000.0,3717000000.0,4165000000.0,4730000000.0
Retained Earnings,22364000000.0,27283000000.0,33984000000.0,38747000000.0,45648000000.0
Other Liab,1544000000.0,1944000000.0,2158000000.0,2471000000.0,3341000000.0
Good Will,3035000000.0,2904000000.0,4021000000.0,4960000000.0,7662000000.0
Treasury Stock,-21261000000.0,-26468000000.0,-32878000000.0,-37338000000.0,-43397000000.0
Other Assets,2299000000.0,3536000000.0,4154000000.0,4684000000.0,5646000000.0
Cash,5933000000.0,6682000000.0,6988000000.0,10113000000.0,7421000000.0
Total Current Liabilities,8793000000.0,11593000000.0,11904000000.0,11847000000.0,13162000000.0
Deferred Long Term Asset Charges,250000000.0,570000000.0,543000000.0,491000000.0,486000000.0
Short Long Term Debt,,500000000.0,,649000000.0,792000000.0
Other Stockholder Equity,-497000000.0,-718000000.0,-673000000.0,-680000000.0,-809000000.0
Property Plant Equipment,829000000.0,921000000.0,1828000000.0,1902000000.0,1907000000.0
Total Current Assets,13797000000.0,16171000000.0,16902000000.0,19113000000.0,16949000000.0
Long Term Investments,249000000.0,337000000.0,914000000.0,1172000000.0,1834000000.0
Net Tangible Assets,1313000000.0,1500000000.0,455000000.0,-322000000.0,-4021000000.0
Short Term Investments,1849000000.0,1696000000.0,688000000.0,483000000.0,473000000.0
Net Receivables,3338000000.0,4728000000.0,5509000000.0,4352000000.0,4325000000.0
Long Term Debt,5424000000.0,5834000000.0,8527000000.0,12023000000.0,13109000000.0
Accounts Payable,933000000.0,537000000.0,489000000.0,527000000.0,738000000.0
