,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Change To Liabilities,283000000.0,307000000.0,54000000.0,-131000000.0
Total Cashflows From Investing Activities,-690000000.0,857000000.0,680000000.0,-982000000.0
Net Borrowings,-333000000.0,-626000000.0,113000000.0,-232000000.0
Total Cash From Financing Activities,-1781000000.0,-1720000000.0,-314000000.0,-636000000.0
Change To Operating Activities,-272000000.0,-452000000.0,212000000.0,-44000000.0
Net Income,961000000.0,1156000000.0,1119000000.0,544000000.0
Change In Cash,-1591000000.0,860000000.0,1159000000.0,-321000000.0
Repurchase Of Stock,-1046000000.0,-670000000.0,-670000000.0,-670000000.0
Effect Of Exchange Rate,-35000000.0,74000000.0,36000000.0,23000000.0
Total Cash From Operating Activities,915000000.0,1649000000.0,757000000.0,1274000000.0
Depreciation,284000000.0,303000000.0,285000000.0,272000000.0
Other Cashflows From Investing Activities,16000000.0,-58000000.0,88000000.0,-4000000.0
Dividends Paid,-453000000.0,-451000000.0,-409000000.0,-409000000.0
Change To Inventory,-37000000.0,290000000.0,-81000000.0,-185000000.0
Change To Account Receivables,-494000000.0,318000000.0,-587000000.0,938000000.0
Other Cashflows From Financing Activities,51000000.0,27000000.0,-18000000.0,5000000.0
Change To Netincome,190000000.0,-273000000.0,-245000000.0,-103000000.0
Capital Expenditures,-216000000.0,-233000000.0,-185000000.0,-231000000.0
Investments,,1131000000.0,1357000000.0,-185000000.0
