,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,90945000.0,95354000.0,58873000.0,59552000.0
Capital Surplus,309988000.0,329742000.0,327646000.0,327970000.0
Total Liab,557636000.0,376368000.0,347965000.0,185733000.0
Total Stockholder Equity,988233000.0,955061000.0,897539000.0,853484000.0
Other Current Liab,49542000.0,43555000.0,36754000.0,24906000.0
Total Assets,1545869000.0,1331429000.0,1245504000.0,1039217000.0
Common Stock,123000.0,123000.0,122000.0,122000.0
Other Current Assets,172269000.0,147192000.0,134970000.0,29572000.0
Retained Earnings,854747000.0,799369000.0,749211000.0,704219000.0
Other Liab,308268000.0,133326000.0,143212000.0,4068000.0
Good Will,147388000.0,147388000.0,147388000.0,147394000.0
Treasury Stock,-176625000.0,-174173000.0,-179440000.0,-178827000.0
Cash,390915000.0,460858000.0,310368000.0,404148000.0
Total Current Liabilities,165795000.0,161561000.0,113462000.0,92272000.0
Other Stockholder Equity,-6582000.0,-4650000.0,-10599000.0,-14151000.0
Property Plant Equipment,163878000.0,161128000.0,158766000.0,156394000.0
Total Current Assets,1143658000.0,927559000.0,880425000.0,573693000.0
Net Tangible Assets,749900000.0,712319000.0,691278000.0,646538000.0
Net Receivables,540815000.0,262449000.0,385729000.0,99222000.0
Accounts Payable,78818700.0,43549000.0,23365000.0,22624000.0
Other Assets,,,52000.0,33000.0
Deferred Long Term Asset Charges,,,52000.0,33000.0
Long Term Investments,,,,102151000.0
