,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Change To Liabilities,-33200000.0,-300000.0,-5400000.0,4900000.0
Total Cashflows From Investing Activities,-218000000.0,-20900000.0,-75300000.0,-95500000.0
Net Borrowings,-1300000.0,-130600000.0,-510800000.0,490200000.0
Total Cash From Financing Activities,-37400000.0,-166300000.0,-545100000.0,391800000.0
Change To Operating Activities,-25100000.0,-46600000.0,85000000.0,-33500000.0
Issuance Of Stock,900000.0,100000.0,1100000.0,200000.0
Net Income,183000000.0,294400000.0,217600000.0,25900000.0
Change In Cash,110700000.0,123600000.0,-353900000.0,403000000.0
Repurchase Of Stock,-1500000.0,-100000.0,-200000.0,-62700000.0
Total Cash From Operating Activities,366100000.0,310800000.0,266500000.0,106700000.0
Depreciation,101300000.0,98800000.0,98400000.0,95000000.0
Other Cashflows From Investing Activities,-109100000.0,-7400000.0,-3400000.0,-7300000.0
Dividends Paid,-35500000.0,-35400000.0,-34600000.0,-34800000.0
Change To Inventory,3300000.0,-900000.0,-12100000.0,-9600000.0
Change To Account Receivables,110600000.0,12900000.0,-127600000.0,10200000.0
Change To Netincome,26200000.0,-47600000.0,10600000.0,13800000.0
Capital Expenditures,-108900000.0,-75100000.0,-71600000.0,-104100000.0
Other Cashflows From Financing Activities,,-300000.0,-600000.0,-1100000.0
