,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,1063092000.0,1059046000.0,1059537000.0,1055544000.0
Capital Surplus,4562689000.0,4537982000.0,4513743000.0,4474379000.0
Total Liab,1074929000.0,1041856000.0,1068362000.0,972273000.0
Total Stockholder Equity,5459437000.0,5160860000.0,4629321000.0,4221540000.0
Other Current Liab,56417000.0,71509000.0,78575000.0,67533000.0
Total Assets,6534366000.0,6202716000.0,5697683000.0,5193813000.0
Common Stock,3196000.0,3193000.0,3192000.0,3190000.0
Other Current Assets,31344000.0,24802000.0,16249000.0,20174000.0
Retained Earnings,6747268000.0,6432074000.0,5960338000.0,5612684000.0
Other Liab,269425000.0,274502000.0,277064000.0,279274000.0
Good Will,1331643000.0,1331643000.0,1331643000.0,1331643000.0
Treasury Stock,-5853716000.0,-5812389000.0,-5847952000.0,-5868713000.0
Other Assets,306551000.0,287771000.0,130801000.0,105693000.0
Cash,1178879000.0,1180413000.0,1074730000.0,921326000.0
Total Current Liabilities,788861000.0,749988000.0,773763000.0,674865000.0
Deferred Long Term Asset Charges,241650000.0,241650000.0,84777000.0,84777000.0
Other Stockholder Equity,-24874000.0,3034000.0,-32529000.0,-53438000.0
Property Plant Equipment,333957000.0,337410000.0,327684000.0,325706000.0
Total Current Assets,3433872000.0,3140955000.0,2825847000.0,2371450000.0
Long Term Investments,65251000.0,45891000.0,22171000.0,3777000.0
Net Tangible Assets,3064702000.0,2770171000.0,2238141000.0,1834353000.0
Short Term Investments,980108000.0,881354000.0,599326000.0,250753000.0
Net Receivables,802336000.0,665943000.0,740628000.0,760236000.0
Inventory,368402000.0,333085000.0,318956000.0,340536000.0
Accounts Payable,334076000.0,296800000.0,281522000.0,261969000.0
