,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Capital Surplus,33208000000.0,33183000000.0,33208000000.0,33169000000.0
Total Liab,54938000000.0,53506000000.0,52776000000.0,54121000000.0
Total Stockholder Equity,22199000000.0,22453000000.0,23741000000.0,24088000000.0
Minority Interest,8021000000.0,8061000000.0,8076000000.0,8108000000.0
Other Current Liab,3777000000.0,3636000000.0,2239000000.0,2016000000.0
Total Assets,85158000000.0,84020000000.0,84593000000.0,86317000000.0
Common Stock,10000000.0,10000000.0,10000000.0,10000000.0
Other Current Assets,12013000000.0,12068000000.0,1105000000.0,975000000.0
Retained Earnings,4650000000.0,4744000000.0,6008000000.0,6380000000.0
Other Liab,9531000000.0,8767000000.0,8971000000.0,8704000000.0
Good Will,8256000000.0,8256000000.0,12710000000.0,12710000000.0
Treasury Stock,-15669000000.0,-15484000000.0,-15485000000.0,-15471000000.0
Other Assets,2637000000.0,2705000000.0,4021000000.0,4363000000.0
Cash,415000000.0,618000000.0,1091000000.0,1690000000.0
Total Current Liabilities,15663000000.0,14246000000.0,11504000000.0,13569000000.0
Deferred Long Term Asset Charges,3000000.0,,,
Short Long Term Debt,1761000000.0,2500000000.0,1715000000.0,1710000000.0
Other Stockholder Equity,-512000000.0,-334000000.0,-336000000.0,-326000000.0
Property Plant Equipment,40556000000.0,41397000000.0,47479000000.0,47895000000.0
Total Current Assets,28287000000.0,26200000000.0,14643000000.0,15693000000.0
Long Term Investments,5422000000.0,5462000000.0,5740000000.0,5656000000.0
Net Tangible Assets,13943000000.0,14197000000.0,11031000000.0,11378000000.0
Net Receivables,7860000000.0,6111000000.0,4361000000.0,5583000000.0
Long Term Debt,28154000000.0,28752000000.0,29755000000.0,29193000000.0
Inventory,7999000000.0,7403000000.0,8086000000.0,7445000000.0
Accounts Payable,7803000000.0,6701000000.0,6110000000.0,8106000000.0
