,2017-05-31,2018-05-31,2019-05-31,2020-05-31,2021-05-31
Investments,118000000.0,1326000000.0,850000000.0,27000000.0,
Change To Liabilities,-158000000.0,1515000000.0,1525000000.0,24000000.0,0.0
Total Cashflows From Investing Activities,-1008000000.0,276000000.0,-264000000.0,-1028000000.0,
Net Borrowings,1748000000.0,13000000.0,-325000000.0,6183000000.0,
Total Cash From Financing Activities,-2148000000.0,-4835000000.0,-5293000000.0,2491000000.0,
Change To Operating Activities,-120000000.0,35000000.0,-203000000.0,-654000000.0,
Issuance Of Stock,489000000.0,733000000.0,700000000.0,885000000.0,
Net Income,4240000000.0,1933000000.0,4029000000.0,2539000000.0,5727000000.0
Change In Cash,670000000.0,441000000.0,217000000.0,3882000000.0,
Repurchase Of Stock,-3252000000.0,-4254000000.0,-4286000000.0,-3067000000.0,
Effect Of Exchange Rate,-20000000.0,45000000.0,-129000000.0,-66000000.0,
Total Cash From Operating Activities,3846000000.0,4955000000.0,5903000000.0,2485000000.0,
Depreciation,716000000.0,774000000.0,720000000.0,1119000000.0,
Other Cashflows From Investing Activities,-34000000.0,-22000000.0,31000000.0,31000000.0,
Dividends Paid,-1133000000.0,-1243000000.0,-1332000000.0,-1452000000.0,
Change To Inventory,-231000000.0,-255000000.0,-490000000.0,-1854000000.0,
Change To Account Receivables,-426000000.0,187000000.0,-270000000.0,1239000000.0,
Other Cashflows From Financing Activities,-84000000.0,-84000000.0,-50000000.0,-58000000.0,
Change To Netincome,-175000000.0,766000000.0,592000000.0,72000000.0,
Capital Expenditures,-1105000000.0,-1028000000.0,-1119000000.0,-1086000000.0,
