,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,,1934000000.0,1869000000.0,2345000000.0
Capital Surplus,,12091000000.0,12075000000.0,12148000000.0
Total Liab,,6020000000.0,5946000000.0,5872000000.0
Total Stockholder Equity,,8131000000.0,7639000000.0,7582000000.0
Minority Interest,,943000000.0,815000000.0,807000000.0
Other Current Liab,,925000000.0,956000000.0,936000000.0
Total Assets,,15094000000.0,14400000000.0,14261000000.0
Common Stock,,6000000.0,6000000.0,6000000.0
Other Current Assets,,333000000.0,392000000.0,327000000.0
Retained Earnings,,-2976000000.0,-3207000000.0,-3241000000.0
Other Liab,,923000000.0,834000000.0,827000000.0
Good Will,,4292000000.0,3997000000.0,3951000000.0
Treasury Stock,,-990000000.0,-1235000000.0,-1331000000.0
Other Assets,,1444000000.0,1404000000.0,1249000000.0
Cash,,1562000000.0,1539000000.0,1517000000.0
Total Current Liabilities,,2861000000.0,2738000000.0,2682000000.0
Deferred Long Term Asset Charges,,337000000.0,337000000.0,332000000.0
Short Long Term Debt,,182000000.0,50000000.0,48000000.0
Other Stockholder Equity,,-990000000.0,-1235000000.0,-1331000000.0
Property Plant Equipment,,3389000000.0,3273000000.0,2836000000.0
Total Current Assets,,3596000000.0,3435000000.0,3461000000.0
Long Term Investments,,439000000.0,422000000.0,419000000.0
Net Tangible Assets,,1905000000.0,1773000000.0,1286000000.0
Net Receivables,,1498000000.0,1301000000.0,1269000000.0
Long Term Debt,,990000000.0,1152000000.0,1127000000.0
Inventory,,203000000.0,203000000.0,348000000.0
Accounts Payable,,291000000.0,322000000.0,351000000.0
