,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Capital Surplus,16235000000.0,16505000000.0,16552000000.0,16585000000.0,16638000000.0,16692000000.0,16749000000.0
Total Liab,66106000000.0,64574000000.0,61491000000.0,61055000000.0,61693000000.0,56885000000.0,54709000000.0
Total Stockholder Equity,13584000000.0,10098000000.0,8811000000.0,8538000000.0,8482000000.0,9111000000.0,10565000000.0
Other Current Liab,910000000.0,1445000000.0,1330000000.0,1074000000.0,1120000000.0,1037000000.0,693000000.0
Total Assets,89452000000.0,84434000000.0,80064000000.0,79355000000.0,79937000000.0,75758000000.0,75036000000.0
Common Stock,213000000.0,216000000.0,216000000.0,217000000.0,217000000.0,217000000.0,217000000.0
Other Current Assets,3590000000.0,5055000000.0,2688000000.0,2585000000.0,3150000000.0,2590000000.0,1288000000.0
Retained Earnings,8105000000.0,4317000000.0,2996000000.0,2639000000.0,2533000000.0,3152000000.0,4480000000.0
Other Liab,17465000000.0,16495000000.0,16060000000.0,15726000000.0,15462000000.0,15839000000.0,15933000000.0
Treasury Stock,-10969000000.0,-10940000000.0,-10953000000.0,-10903000000.0,-10906000000.0,-10950000000.0,-10881000000.0
Other Assets,1154000000.0,998000000.0,1044000000.0,1089000000.0,1138000000.0,1145000000.0,1231000000.0
Cash,1011000000.0,1896000000.0,2008000000.0,2270000000.0,4569000000.0,2059000000.0,2764000000.0
Total Current Liabilities,9919000000.0,10500000000.0,8223000000.0,8631000000.0,9586000000.0,9126000000.0,8324000000.0
Deferred Long Term Asset Charges,,,,,,,37000000.0
Short Long Term Debt,2518000000.0,3536000000.0,1334000000.0,1208000000.0,1424000000.0,1040000000.0,416000000.0
Other Stockholder Equity,-312000000.0,-283000000.0,-288000000.0,-235000000.0,-238000000.0,-282000000.0,-208000000.0
Property Plant Equipment,73733000000.0,69617000000.0,66951000000.0,65022000000.0,62706000000.0,61448000000.0,60656000000.0
Total Current Assets,8437000000.0,10694000000.0,8819000000.0,10074000000.0,12844000000.0,9899000000.0,10211000000.0
Long Term Investments,6128000000.0,3125000000.0,3250000000.0,3170000000.0,3249000000.0,3266000000.0,2938000000.0
Net Tangible Assets,13584000000.0,10098000000.0,8811000000.0,8538000000.0,8482000000.0,9111000000.0,10565000000.0
Net Receivables,2359000000.0,2083000000.0,2225000000.0,3046000000.0,3288000000.0,3477000000.0,4313000000.0
Long Term Debt,37681000000.0,36501000000.0,36251000000.0,35740000000.0,35730000000.0,30997000000.0,29363000000.0
Inventory,1477000000.0,1660000000.0,1898000000.0,2173000000.0,1837000000.0,1773000000.0,1846000000.0
Accounts Payable,3034000000.0,2682000000.0,2987000000.0,3416000000.0,3544000000.0,3713000000.0,3899000000.0
