,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,410082000.0,305079000.0,260204000.0,519917000.0
Capital Surplus,8226113000.0,8398847000.0,9183892000.0,10229857000.0
Total Liab,8493523000.0,6205962000.0,7365417000.0,8575517000.0
Total Stockholder Equity,5301005000.0,5944439000.0,6085058000.0,6788345000.0
Minority Interest,293933000.0,568152000.0,582416000.0,556227000.0
Other Current Liab,14031000.0,1125000.0,403688000.0,415737000.0
Total Assets,14088461000.0,12718553000.0,14032891000.0,15920089000.0
Common Stock,469436000.0,477496000.0,505222000.0,538405000.0
Other Current Assets,443911000.0,137142000.0,3661650000.0,2693512000.0
Other Liab,208256000.0,245346000.0,466593000.0,1331252000.0
Treasury Stock,-3394544000.0,-2931904000.0,-3604056000.0,-3979917000.0
Other Assets,578259000.0,591088000.0,538369000.0,665106000.0
Cash,55306000.0,110790000.0,80398000.0,44226000.0
Total Current Liabilities,496483000.0,482183000.0,837172000.0,920102000.0
Deferred Long Term Asset Charges,42092000.0,53722000.0,72617000.0,87191000.0
Short Long Term Debt,,,,13015000.0
Other Stockholder Equity,-3394544000.0,-2931904000.0,-3604056000.0,-3979917000.0
Property Plant Equipment,10731878000.0,10209450000.0,8397940000.0,11312107000.0
Total Current Assets,1567628000.0,1072919000.0,4062073000.0,3020088000.0
Long Term Investments,800614000.0,540017000.0,774305000.0,402871000.0
Net Tangible Assets,4890923000.0,5639360000.0,5824854000.0,6268428000.0
Net Receivables,1068411000.0,824987000.0,320025000.0,282350000.0
Long Term Debt,7788784000.0,5478433000.0,5909252000.0,6155374000.0
Accounts Payable,388287000.0,390273000.0,270524000.0,271919000.0
