,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Investments,-1800000.0,-2500000.0,-23800000.0,27100000.0
Change To Liabilities,-12300000.0,45900000.0,31600000.0,-66300000.0
Total Cashflows From Investing Activities,-87500000.0,-170200000.0,-127100000.0,-51800000.0
Net Borrowings,-400000.0,-400000.0,-300000.0,-400000.0
Total Cash From Financing Activities,-95300000.0,-75400000.0,-75300000.0,-85700000.0
Change To Operating Activities,-34800000.0,-26200000.0,46000000.0,22400000.0
Net Income,166500000.0,123600000.0,139100000.0,56700000.0
Change In Cash,8800000.0,25500000.0,95800000.0,89300000.0
Repurchase Of Stock,-100000.0,-100000.0,-100000.0,-10400000.0
Total Cash From Operating Activities,191600000.0,271100000.0,298200000.0,226800000.0
Depreciation,100300000.0,90700000.0,100100000.0,105600000.0
Other Cashflows From Investing Activities,-1300000.0,-200000.0,-1100000.0,-2400000.0
Dividends Paid,-94800000.0,-75000000.0,-74900000.0,-74900000.0
Change To Inventory,-11700000.0,-10200000.0,56900000.0,-24700000.0
Change To Account Receivables,-76200000.0,32200000.0,-47300000.0,62300000.0
Change To Netincome,31300000.0,32600000.0,-52200000.0,80000000.0
Capital Expenditures,-85100000.0,-167700000.0,-102300000.0,-80700000.0
