,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,-732600000.0,-1069900000.0,-1598200000.0,544000000.0
Change To Liabilities,-136300000.0,15400000.0,738500000.0,267000000.0
Total Cashflows From Investing Activities,-1005200000.0,-1463000000.0,-2027800000.0,-70600000.0
Net Borrowings,37100000.0,1981900000.0,1981900000.0,1981900000.0
Total Cash From Financing Activities,-24400000.0,-77100000.0,-252100000.0,-1970500000.0
Change To Operating Activities,-113300000.0,-88100000.0,-79800000.0,114900000.0
Issuance Of Stock,240200000.0,114500000.0,211800000.0,2575200000.0
Net Income,1198500000.0,2444400000.0,2115800000.0,3513200000.0
Change In Cash,277500000.0,655000000.0,150100000.0,577000000.0
Repurchase Of Stock,-301700000.0,-191600000.0,-463900000.0,-6527600000.0
Total Cash From Operating Activities,1307100000.0,2195100000.0,2430000000.0,2618100000.0
Depreciation,145500000.0,148200000.0,210300000.0,235900000.0
Change To Inventory,-314200000.0,-387900000.0,-335500000.0,-529400000.0
Change To Account Receivables,-362700000.0,-236400000.0,-523700000.0,-1356100000.0
Change To Netincome,889600000.0,299500000.0,304400000.0,372600000.0
Capital Expenditures,-272600000.0,-383100000.0,-429600000.0,-614600000.0
Other Cashflows From Investing Activities,-10000000.0,-10000000.0,,
