,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,448168000.0,432894000.0,412998000.0,409559000.0,392582000.0,375400000.0,372013000.0,355984000.0,345944000.0
Capital Surplus,1570694000.0,1588018000.0,1574240000.0,1586545000.0,1622199000.0,1643661000.0,1629031000.0,1645453000.0,1682432000.0
Total Liab,2090349000.0,1941984000.0,1707872000.0,1876490000.0,1842446000.0,1703118000.0,1588907000.0,1626460000.0,1735102000.0
Total Stockholder Equity,2497027000.0,2678860000.0,2864984000.0,2709234000.0,2885679000.0,3026049000.0,3145835000.0,3278804000.0,3360751000.0
Other Current Liab,195078000.0,201079000.0,175173000.0,451003000.0,447769000.0,172497000.0,165560000.0,185532000.0,179449000.0
Total Assets,4587376000.0,4620844000.0,4572856000.0,4585724000.0,4728125000.0,4729167000.0,4734742000.0,4905264000.0,5095853000.0
Common Stock,580000.0,580000.0,582000.0,582000.0,583000.0,583000.0,585000.0,585000.0,586000.0
Other Current Assets,,,,,72409000.0,77826000.0,89229000.0,108898000.0,107291000.0
Retained Earnings,2832991000.0,2953709000.0,3076569000.0,2941336000.0,3079640000.0,3222064000.0,3362570000.0,3480163000.0,3613736000.0
Other Liab,221575000.0,195513000.0,199164000.0,165637000.0,172550000.0,163774000.0,166894000.0,163206000.0,160025000.0
Good Will,1890324000.0,1899743000.0,1910492000.0,1925991000.0,1927901000.0,1922037000.0,1951459000.0,1946317000.0,1936442000.0
Treasury Stock,-1907238000.0,-1863447000.0,-1786407000.0,-1819229000.0,-1816743000.0,-1840259000.0,-1846351000.0,-1847397000.0,-1936003000.0
Other Assets,145600000.0,156825000.0,164027000.0,160447000.0,200664000.0,196828000.0,191173000.0,193583000.0,202286000.0
Cash,463156000.0,421414000.0,255865000.0,230635000.0,295278000.0,276149000.0,194476000.0,201769000.0,273710000.0
Total Current Liabilities,602761000.0,590853000.0,577335000.0,876541000.0,911766000.0,624158000.0,621064000.0,667265000.0,689299000.0
Deferred Long Term Asset Charges,41065000.0,50788000.0,49628000.0,49936000.0,79904000.0,80765000.0,74669000.0,74840000.0,79746000.0
Short Long Term Debt,11987000.0,11988000.0,11988000.0,11990000.0,12000000.0,12000000.0,12000000.0,11967000.0,9916000.0
Other Stockholder Equity,-283982000.0,-240191000.0,-163151000.0,-195973000.0,-193487000.0,-217003000.0,-223095000.0,-224141000.0,-312747000.0
Property Plant Equipment,535683000.0,549292000.0,590763000.0,583861000.0,592065000.0,601719000.0,623823000.0,654423000.0,630495000.0
Total Current Assets,1523459000.0,1542609000.0,1451485000.0,1466150000.0,1574757000.0,1586255000.0,1547240000.0,1704300000.0,1931478000.0
Long Term Investments,44142000.0,39481000.0,43091000.0,39716000.0,40156000.0,46928000.0,49034000.0,50657000.0,49208000.0
Net Tangible Assets,158535000.0,346223000.0,541494000.0,373684000.0,565196000.0,728612000.0,822363000.0,976503000.0,1078365000.0
Net Receivables,484095000.0,474478000.0,518817000.0,537554000.0,625185000.0,601353000.0,550719000.0,534233000.0,601642000.0
Long Term Debt,1164133000.0,1044435000.0,813732000.0,719046000.0,643351000.0,793668000.0,667979000.0,668735000.0,765325000.0
Inventory,416915000.0,478006000.0,474821000.0,484061000.0,457033000.0,506644000.0,592146000.0,664943000.0,743910000.0
Accounts Payable,135786000.0,117589000.0,122166000.0,117222000.0,138008000.0,173696000.0,163369000.0,149797000.0,159245000.0
Short Term Investments,,,,24011000.0,29084000.0,33138000.0,19566000.0,17842000.0,
