,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Change To Liabilities,27600000.0,13700000.0,400000.0,2700000.0
Total Cashflows From Investing Activities,-344600000.0,-889900000.0,-311100000.0,-286400000.0
Net Borrowings,-180100000.0,156000000.0,31600000.0,-339200000.0
Total Cash From Financing Activities,-342300000.0,-47700000.0,-125900000.0,-470300000.0
Change To Operating Activities,-18800000.0,-229700000.0,-43200000.0,160300000.0
Net Income,295900000.0,235400000.0,260000000.0,225500000.0
Change In Cash,-25900000.0,-375000000.0,138500000.0,7300000.0
Repurchase Of Stock,-12700000.0,-12700000.0,-12700000.0,-12700000.0
Total Cash From Operating Activities,661000000.0,562600000.0,575500000.0,764000000.0
Depreciation,302600000.0,249200000.0,310400000.0,270900000.0
Other Cashflows From Investing Activities,1500000.0,-10400000.0,-200000.0,22300000.0
Dividends Paid,-135500000.0,-135400000.0,-129200000.0,-128700000.0
Change To Account Receivables,-8900000.0,10400000.0,-42100000.0,17500000.0
Other Cashflows From Financing Activities,-14000000.0,-70900000.0,-29600000.0,-2400000.0
Change To Netincome,62600000.0,244800000.0,109000000.0,68100000.0
Capital Expenditures,-331000000.0,-305600000.0,-234300000.0,-307900000.0
Issuance Of Stock,,2600000.0,1300000.0,1300000.0
