,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Investments,-6000000.0,-6000000.0,-6000000.0,-6000000.0
Change To Liabilities,482000000.0,-25000000.0,682000000.0,-1705000000.0
Total Cashflows From Investing Activities,582000000.0,-809000000.0,2096000000.0,3096000000.0
Net Borrowings,-299000000.0,-1006000000.0,-14000000.0,-626000000.0
Total Cash From Financing Activities,-1539000000.0,-1769000000.0,-692000000.0,-4175000000.0
Change To Operating Activities,-193000000.0,-64000000.0,-201000000.0,28000000.0
Issuance Of Stock,1000000.0,9000000.0,9000000.0,4000000.0
Net Income,753000000.0,135000000.0,264000000.0,-3835000000.0
Change In Cash,-216000000.0,-1200000000.0,3015000000.0,-1049000000.0
Repurchase Of Stock,-375000000.0,-375000000.0,-4000000.0,-4000000.0
Effect Of Exchange Rate,23000000.0,43000000.0,21000000.0,9000000.0
Total Cash From Operating Activities,718000000.0,1335000000.0,1590000000.0,21000000.0
Depreciation,1123000000.0,1153000000.0,1164000000.0,1111000000.0
Other Cashflows From Investing Activities,39000000.0,62000000.0,183000000.0,181000000.0
Dividends Paid,-705000000.0,-706000000.0,-688000000.0,-724000000.0
Change To Inventory,-113000000.0,523000000.0,439000000.0,-155000000.0
Change To Account Receivables,-1110000000.0,115000000.0,-273000000.0,1498000000.0
Other Cashflows From Financing Activities,-161000000.0,-66000000.0,14000000.0,-2829000000.0
Change To Netincome,-224000000.0,-502000000.0,-485000000.0,3079000000.0
Capital Expenditures,-387000000.0,-623000000.0,-389000000.0,-458000000.0
