,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,1613000000.0,2369000000.0,2030000000.0,1827000000.0,1816000000.0
Total Liab,216108000000.0,219859000000.0,221179000000.0,288506000000.0,287261000000.0
Total Stockholder Equity,19121000000.0,21047000000.0,21469000000.0,23729000000.0,25387000000.0
Total Assets,238425000000.0,244596000000.0,245610000000.0,314706000000.0,314624000000.0
Common Stock,504000000.0,504000000.0,504000000.0,504000000.0,504000000.0
Other Current Assets,3880000000.0,5146000000.0,1729000000.0,3676000000.0,2348000000.0
Retained Earnings,18856000000.0,20553000000.0,21918000000.0,23442000000.0,25238000000.0
Other Liab,150000000.0,123000000.0,98000000.0,73000000.0,45000000.0
Good Will,6022000000.0,7446000000.0,7556000000.0,7683000000.0,7621000000.0
Treasury Stock,-239000000.0,-10000000.0,-953000000.0,-217000000.0,-355000000.0
Other Assets,46396000000.0,49567000000.0,49332000000.0,50314000000.0,59253000000.0
Cash,2107000000.0,3212000000.0,3302000000.0,3467000000.0,3631000000.0
Total Current Liabilities,205746000000.0,208643000000.0,210263000000.0,275428000000.0,273281000000.0
Deferred Long Term Asset Charges,113000000.0,113000000.0,216000000.0,233000000.0,254000000.0
Other Stockholder Equity,8790000000.0,8705000000.0,9256000000.0,10392000000.0,9654000000.0
Property Plant Equipment,2186000000.0,2214000000.0,3140000000.0,2874000000.0,2803000000.0
Total Current Assets,82370000000.0,93056000000.0,85056000000.0,137637000000.0,124140000000.0
Long Term Investments,99838000000.0,89944000000.0,98496000000.0,114371000000.0,118991000000.0
Net Tangible Assets,11486000000.0,11232000000.0,11883000000.0,14219000000.0,15950000000.0
Short Term Investments,70468000000.0,77719000000.0,70452000000.0,120066000000.0,109370000000.0
Net Receivables,445000000.0,437000000.0,3511000000.0,3426000000.0,3313000000.0
Long Term Debt,9962000000.0,10903000000.0,10682000000.0,12197000000.0,13311000000.0
Accounts Payable,184896000000.0,180360000000.0,181872000000.0,239798000000.0,255035000000.0
Other Current Liab,39000000.0,,5000000.0,4000000.0,
Short Long Term Debt,1408000000.0,,1691000000.0,1505000000.0,
