,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,5093000000.0,4831000000.0,5007000000.0,5190000000.0,4896000000.0,5514000000.0,6041000000.0,6706000000.0,7001000000.0,7523000000.0
Capital Surplus,35676000000.0,35774000000.0,35843000000.0,35360000000.0,34898000000.0,34977000000.0,34565000000.0,34539000000.0,34410000000.0,34487000000.0
Total Liab,435453000000.0,429210000000.0,438316000000.0,449661000000.0,453628000000.0,460984000000.0,471970000000.0,478935000000.0,482124000000.0,487627000000.0
Total Stockholder Equity,61634000000.0,61819000000.0,62759000000.0,60752000000.0,61663000000.0,62227000000.0,62598000000.0,58348000000.0,56302000000.0,54115000000.0
Minority Interest,106000000.0,106000000.0,105000000.0,,,,,23000000.0,24000000.0,23000000.0
Total Assets,504336000000.0,499183000000.0,509228000000.0,517537000000.0,521964000000.0,529884000000.0,541241000000.0,543979000000.0,545123000000.0,548438000000.0
Common Stock,6738000000.0,6741000000.0,6745000000.0,6724000000.0,6674000000.0,6674000000.0,6639000000.0,6657000000.0,6632000000.0,6634000000.0
Other Current Assets,8256000000.0,7460000000.0,7993000000.0,7627000000.0,4883000000.0,6974000000.0,6603000000.0,4167000000.0,5491000000.0,2304000000.0
Retained Earnings,18373000000.0,18834000000.0,19455000000.0,20184000000.0,21139000000.0,22114000000.0,22998000000.0,23687000000.0,24500000000.0,25344000000.0
Other Liab,8876000000.0,8881000000.0,9099000000.0,7941000000.0,9412000000.0,9769000000.0,12091000000.0,11687000000.0,9925000000.0,14776000000.0
Good Will,23882000000.0,23869000000.0,24447000000.0,24356000000.0,24374000000.0,24891000000.0,26098000000.0,26284000000.0,26299000000.0,26810000000.0
Treasury Stock,847000000.0,470000000.0,716000000.0,-1516000000.0,-1048000000.0,-1538000000.0,-1604000000.0,-6535000000.0,-9240000000.0,-12350000000.0
Other Assets,320871000000.0,312710000000.0,305623000000.0,298006000000.0,293668000000.0,293483000000.0,298984000000.0,319329000000.0,315862000000.0,345765000000.0
Cash,41197000000.0,37108000000.0,18868000000.0,32132000000.0,26557000000.0,19827000000.0,20295000000.0,29122000000.0,23113000000.0,22225000000.0
Total Current Liabilities,382383000000.0,377394000000.0,388095000000.0,402155000000.0,405005000000.0,411684000000.0,422690000000.0,433475000000.0,440409000000.0,441679000000.0
Other Stockholder Equity,847000000.0,470000000.0,716000000.0,-1516000000.0,-1048000000.0,-1538000000.0,-1604000000.0,-6535000000.0,-9240000000.0,-12350000000.0
Property Plant Equipment,7679000000.0,7323000000.0,7013000000.0,6934000000.0,6492000000.0,6772000000.0,6960000000.0,3662000000.0,7089000000.0,3585000000.0
Total Current Assets,62665000000.0,57673000000.0,39447000000.0,52633000000.0,45798000000.0,41100000000.0,41166000000.0,41583000000.0,42183000000.0,33023000000.0
Long Term Investments,84146000000.0,92777000000.0,127691000000.0,130418000000.0,146736000000.0,158124000000.0,161992000000.0,146415000000.0,146689000000.0,131732000000.0
Net Tangible Assets,34736000000.0,35110000000.0,35328000000.0,33571000000.0,34624000000.0,34406000000.0,33092000000.0,28371000000.0,26468000000.0,23579000000.0
Short Term Investments,1345000000.0,1300000000.0,1745000000.0,1349000000.0,1242000000.0,1302000000.0,4028000000.0,2322000000.0,2650000000.0,2568000000.0
Long Term Debt,42085000000.0,40963000000.0,39555000000.0,37715000000.0,37436000000.0,37806000000.0,35887000000.0,33773000000.0,30294000000.0,31172000000.0
Inventory,63000000.0,60000000.0,52000000.0,56000000.0,54000000.0,48000000.0,51000000.0,52000000.0,50000000.0,62000000.0
Accounts Payable,376235000000.0,370747000000.0,381077000000.0,395562000000.0,398279000000.0,405857000000.0,416488000000.0,428328000000.0,424759000000.0,415992000000.0
Net Receivables,2524000000.0,1832000000.0,1833000000.0,2252000000.0,2809000000.0,1910000000.0,2244000000.0,2323000000.0,3151000000.0,
Short Long Term Debt,,,,,500000000.0,,,,,
