,2018-02-03,2019-02-02,2020-02-01,2021-01-30
Investments,44881000.0,474935000.0,-246274000.0,-10576000.0
Change To Liabilities,205111000.0,198212000.0,29338000.0,2111189000.0
Total Cashflows From Investing Activities,-1012736000.0,-623552000.0,-1461971000.0,-578597000.0
Net Borrowings,-3138000.0,-7115000.0,3568515000.0,3568515000.0
Total Cash From Financing Activities,-2297346000.0,-3097481000.0,-2414871000.0,3228262000.0
Change To Operating Activities,16672000.0,390308000.0,358278000.0,727295000.0
Issuance Of Stock,133687000.0,255241000.0,232106000.0,211189000.0
Net Income,2607948000.0,3059798000.0,3272193000.0,90470000.0
Change In Cash,-171372000.0,271752000.0,186523000.0,7252818000.0
Repurchase Of Stock,-1663855000.0,-2423011000.0,-1575415000.0,-230809000.0
Effect Of Exchange Rate,113086000.0,-95674000.0,-3175000.0,41264000.0
Total Cash From Operating Activities,3025624000.0,4088459000.0,4066540000.0,4561889000.0
Depreciation,725957000.0,819655000.0,867303000.0,870758000.0
Dividends Paid,-764040000.0,-922596000.0,-1071562000.0,-278256000.0
Change To Inventory,-450377000.0,-465429000.0,-296541000.0,588756000.0
Change To Account Receivables,-62358000.0,-23532000.0,-42998000.0,-71091000.0
Other Cashflows From Financing Activities,-3138000.0,-23400000.0,-23400000.0,-42377000.0
Change To Netincome,77163000.0,53030000.0,41486000.0,181014000.0
Capital Expenditures,-1057617000.0,-1125139000.0,-1223116000.0,-568021000.0
Other Cashflows From Investing Activities,26652000.0,26652000.0,7419000.0,
