,2021-03-27,2020-12-26,2020-09-26,2020-06-27
Investments,1400000.0,-100000.0,100000.0,146000000.0
Change To Liabilities,21200000.0,118700000.0,135100000.0,-73200000.0
Total Cashflows From Investing Activities,-17800000.0,-23800000.0,-2000000.0,113500000.0
Net Borrowings,-200200000.0,-511700000.0,-200000.0,699800000.0
Total Cash From Financing Activities,-169700000.0,-510500000.0,-8400000.0,609000000.0
Change To Operating Activities,-73000000.0,94100000.0,-129400000.0,57800000.0
Issuance Of Stock,33100000.0,6200000.0,6200000.0,2600000.0
Net Income,91700000.0,311000000.0,231700000.0,-293800000.0
Change In Cash,9100000.0,128700000.0,87600000.0,683700000.0
Effect Of Exchange Rate,-1700000.0,6700000.0,8000000.0,300000.0
Total Cash From Operating Activities,198300000.0,656300000.0,90000000.0,-39100000.0
Depreciation,64800000.0,51200000.0,51200000.0,53400000.0
Change To Inventory,-80400000.0,201800000.0,-57500000.0,113000000.0
Change To Account Receivables,93900000.0,-113800000.0,-29400000.0,-13300000.0
Other Cashflows From Financing Activities,-2600000.0,-4800000.0,-4800000.0,-4800000.0
Change To Netincome,80100000.0,-6700000.0,-111700000.0,117000000.0
Capital Expenditures,-19200000.0,-23700000.0,-26000000.0,-32500000.0
Repurchase Of Stock,,-200000.0,-8200000.0,-200000.0
Dividends Paid,,,,-93200000.0
