,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,64347000.0,58923000.0,58338000.0,62718000.0,57513000.0,46702000.0,69324000.0,59725000.0,52643000.0
Capital Surplus,9127495000.0,9249956000.0,9167138000.0,8551763000.0,8457717000.0,8468708000.0,8432112000.0,6677294000.0,7096599000.0
Total Liab,4889532000.0,5276704000.0,5409008000.0,7247425000.0,7607097000.0,7416714000.0,6752317000.0,7646041000.0,7646806000.0
Total Stockholder Equity,7658055000.0,7812088000.0,7970082000.0,7736650000.0,7716128000.0,7172631000.0,7307199000.0,5904916000.0,5932481000.0
Other Current Liab,88396000.0,88890000.0,99360000.0,100836000.0,142120000.0,944201000.0,126371000.0,,178271000.0
Total Assets,12547587000.0,13088792000.0,13379090000.0,14984075000.0,15323225000.0,14589345000.0,14059516000.0,13550957000.0,13579287000.0
Common Stock,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
Other Current Assets,5456000.0,2655000.0,7816000.0,37593000.0,3910000.0,32981000.0,56789000.0,8139000.0,16909000.0
Retained Earnings,-1376444000.0,-1347785000.0,-1125669000.0,-712888000.0,-647239000.0,-1183996000.0,-1002302000.0,-616860000.0,-963666000.0
Other Liab,60608000.0,63163000.0,67562000.0,64950000.0,74834000.0,70291000.0,84222000.0,91274000.0,100301000.0
Good Will,1284325000.0,1289147000.0,1312346000.0,1316461000.0,1325200000.0,1293826000.0,1301520000.0,1298462000.0,1303438000.0
Treasury Stock,-93000000.0,-90087000.0,-71391000.0,-102229000.0,-94354000.0,-112085000.0,-122615000.0,-155522000.0,-200456000.0
Other Assets,844725000.0,852910000.0,861565000.0,1003144000.0,1022064000.0,1250674000.0,1255618000.0,1293686000.0,1401870000.0
Cash,3112454000.0,2201073000.0,1988429000.0,4248702000.0,4125595000.0,3473865000.0,2186549000.0,2283308000.0,2680596000.0
Total Current Liabilities,841107000.0,1935103000.0,1952826000.0,2036693000.0,2257919000.0,2114981000.0,1343867000.0,1136707000.0,1017263000.0
Deferred Long Term Asset Charges,786290000.0,792362000.0,796326000.0,933245000.0,936121000.0,1133816000.0,1148573000.0,941883000.0,997900000.0
Other Stockholder Equity,-93000000.0,-90087000.0,-66094000.0,-96932000.0,-89056000.0,-106794000.0,-117320000.0,-155522000.0,-200456000.0
Property Plant Equipment,1782803000.0,2220933000.0,2423933000.0,2621110000.0,3037807000.0,3169409000.0,3277284000.0,3423016000.0,3547755000.0
Total Current Assets,8495287000.0,8589579000.0,8637108000.0,9863742000.0,9728141000.0,8649234000.0,7918370000.0,7476068000.0,7273581000.0
Net Tangible Assets,6309383000.0,6464018000.0,6599398000.0,6357471000.0,6333415000.0,5832103000.0,5936355000.0,4546729000.0,4576400000.0
Short Term Investments,4653560000.0,5479974000.0,5483873000.0,4557585000.0,4481468000.0,3937447000.0,4207133000.0,3978645000.0,3440147000.0
Net Receivables,600777000.0,747548000.0,1041743000.0,850075000.0,954265000.0,1014208000.0,1217404000.0,948142000.0,972591000.0
Long Term Debt,3427356000.0,2551427000.0,2568872000.0,4246025000.0,4248338000.0,4250678000.0,4253019000.0,5244181000.0,5246849000.0
Accounts Payable,162160000.0,241102000.0,194281000.0,219899000.0,325446000.0,207912000.0,203171000.0,189524000.0,153092000.0
Long Term Investments,76100000.0,77300000.0,85800000.0,116900000.0,152500000.0,179500000.0,237400000.0,,
Short Long Term Debt,,905532000.0,917866000.0,953046000.0,953565000.0,,,,
