,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Intangible Assets,2852000000.0,2852000000.0,2838000000.0,2840000000.0
Capital Surplus,7307000000.0,7383000000.0,8366000000.0,8923000000.0
Total Liab,46384000000.0,54186000000.0,53588000000.0,56456000000.0
Total Stockholder Equity,8517000000.0,7003000000.0,5960000000.0,5206000000.0
Other Current Liab,7856000000.0,6623000000.0,6465000000.0,7477000000.0
Total Assets,54901000000.0,61189000000.0,59548000000.0,61662000000.0
Common Stock,3000000.0,3000000.0,4000000.0,4000000.0
Other Current Assets,34000000.0,76000000.0,255000000.0,254000000.0
Retained Earnings,6365000000.0,4524000000.0,2626000000.0,1239000000.0
Other Liab,10242000000.0,9920000000.0,9677000000.0,9647000000.0
Good Will,4523000000.0,4527000000.0,4527000000.0,4527000000.0
Treasury Stock,-5158000000.0,-4907000000.0,-5036000000.0,-4960000000.0
Other Assets,1838000000.0,1504000000.0,1582000000.0,2293000000.0
Cash,6505000000.0,13150000000.0,11269000000.0,12666000000.0
Total Current Liabilities,16395000000.0,15791000000.0,12725000000.0,14167000000.0
Deferred Long Term Asset Charges,,,131000000.0,520000000.0
Short Long Term Debt,4454000000.0,4584000000.0,1911000000.0,1783000000.0
Other Stockholder Equity,-1259000000.0,-1009000000.0,-1139000000.0,-1126000000.0
Property Plant Equipment,34849000000.0,35020000000.0,34837000000.0,34992000000.0
Total Current Assets,10041000000.0,16476000000.0,14800000000.0,16019000000.0
Long Term Investments,798000000.0,810000000.0,964000000.0,991000000.0
Net Tangible Assets,1142000000.0,-376000000.0,-1405000000.0,-2161000000.0
Short Term Investments,958000000.0,552000000.0,414000000.0,309000000.0
Net Receivables,857000000.0,1171000000.0,1295000000.0,1389000000.0
Long Term Debt,14318000000.0,22297000000.0,24836000000.0,25849000000.0
Inventory,955000000.0,961000000.0,932000000.0,918000000.0
Accounts Payable,1725000000.0,1831000000.0,1595000000.0,1838000000.0
