,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Investments,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,1000000.0,1000000.0,-3000000.0,-1000000.0,-1000000.0
Change To Liabilities,-168000000.0,223000000.0,-78000000.0,96000000.0,289000000.0,163000000.0,-241000000.0,10000000.0,241000000.0,81000000.0
Total Cashflows From Investing Activities,-2000000.0,-245000000.0,63000000.0,-34000000.0,-2174000000.0,-995000000.0,-408000000.0,-394000000.0,-998000000.0,-978000000.0
Net Borrowings,-1202000000.0,-518000000.0,-407000000.0,-619000000.0,1049000000.0,-94000000.0,-434000000.0,-217000000.0,323000000.0,87000000.0
Total Cash From Financing Activities,-1203000000.0,-536000000.0,-412000000.0,-649000000.0,1047000000.0,-103000000.0,-435000000.0,-535000000.0,-187000000.0,-152000000.0
Change To Operating Activities,206000000.0,-85000000.0,-219000000.0,2000000.0,192000000.0,146000000.0,-5000000.0,-25000000.0,55000000.0,113000000.0
Net Income,212000000.0,208000000.0,297000000.0,203000000.0,293000000.0,409000000.0,481000000.0,367000000.0,493000000.0,606000000.0
Change In Cash,-386000000.0,47000000.0,28000000.0,76000000.0,58000000.0,-16000000.0,-176000000.0,-43000000.0,-33000000.0,8000000.0
Repurchase Of Stock,-5000000.0,-5000000.0,-5000000.0,-30000000.0,-2000000.0,-1000000.0,-1000000.0,-318000000.0,-501000000.0,-239000000.0
Effect Of Exchange Rate,2000000.0,1000000.0,7000000.0,1000000.0,9000000.0,-5000000.0,-1000000.0,-2000000.0,-2000000.0,-4000000.0
Total Cash From Operating Activities,817000000.0,827000000.0,370000000.0,758000000.0,1176000000.0,1087000000.0,668000000.0,886000000.0,1154000000.0,1142000000.0
Depreciation,95000000.0,97000000.0,95000000.0,91000000.0,90000000.0,98000000.0,93000000.0,97000000.0,91000000.0,90000000.0
Other Cashflows From Investing Activities,7000000.0,21000000.0,6000000.0,7000000.0,7000000.0,5000000.0,6000000.0,7000000.0,10000000.0,8000000.0
Change To Inventory,7000000.0,-17000000.0,-17000000.0,11000000.0,-9000000.0,6000000.0,1000000.0,-13000000.0,-23000000.0,3000000.0
Change To Account Receivables,192000000.0,-95000000.0,16000000.0,63000000.0,-81000000.0,-206000000.0,-76000000.0,76000000.0,-135000000.0,-202000000.0
Change To Netincome,-101000000.0,83000000.0,-113000000.0,-86000000.0,14000000.0,56000000.0,-28000000.0,-64000000.0,-28000000.0,-22000000.0
Capital Expenditures,-18000000.0,-276000000.0,47000000.0,-47000000.0,-753000000.0,-1006000000.0,-424000000.0,-326000000.0,-776000000.0,-980000000.0
Other Cashflows From Financing Activities,-1000000.0,-13000000.0,-8000000.0,-8000000.0,-8000000.0,-8000000.0,-9000000.0,-9000000.0,-9000000.0,
