,2018-03-31,2019-03-30,2020-03-28,2021-04-03,2022-04-02
Intangible Assets,2360045000.0,2127878000.0,2058458000.0,3294481000.0,3317033000.0
Capital Surplus,3607424000.0,3921784000.0,4183780000.0,3777645000.0,3916384000.0
Total Liab,6623214000.0,6058269000.0,7775917000.0,10697865000.0,9811853000.0
Total Stockholder Equity,3688096000.0,4298516000.0,3357334000.0,3056164000.0,3530355000.0
Deferred Long Term Liab,34122000.0,27830000.0,31977000.0,34607000.0,34684000.0
Other Current Liab,305150000.0,540524000.0,287706000.0,434129000.0,614579000.0
Total Assets,10311310000.0,10356785000.0,11133251000.0,13754029000.0,13342208000.0
Common Stock,98578000.0,99206000.0,97203000.0,97985000.0,97075000.0
Other Current Assets,732533000.0,1722935000.0,1054844000.0,1010575000.0,424557000.0
Retained Earnings,846124000.0,1179601000.0,7309000.0,189534000.0,443475000.0
Other Liab,1271830000.0,1280781000.0,1123113000.0,1541778000.0,888436000.0
Good Will,1693219000.0,1491684000.0,1156019000.0,2425427000.0,2393807000.0
Treasury Stock,-864030000.0,-902075000.0,-930958000.0,-1009000000.0,-926579000.0
Other Assets,550673000.0,1174602000.0,652422000.0,784107000.0,740097000.0
Cash,680762000.0,402226000.0,1369028000.0,815750000.0,1275943000.0
Total Current Liabilities,3138829000.0,2661604000.0,3023884000.0,2210477000.0,3315397000.0
Deferred Long Term Asset Charges,105493000.0,95399000.0,183336000.0,201237000.0,100980000.0
Short Long Term Debt,6265000.0,,,,500000000.0
Other Stockholder Equity,-864030000.0,-902075000.0,-930958000.0,-1009000000.0,-926579000.0
Property Plant Equipment,1011617000.0,876093000.0,2227920000.0,2450310000.0,2288833000.0
Total Current Assets,4683323000.0,4673457000.0,5027016000.0,4785870000.0,4588080000.0
Long Term Investments,12433000.0,13071000.0,11416000.0,13834000.0,14358000.0
Net Tangible Assets,-365168000.0,678954000.0,142857000.0,-2663744000.0,-2180485000.0
Net Receivables,1408587000.0,1375194000.0,1309232000.0,1298900000.0,1468907000.0
Long Term Debt,2212555000.0,2087015000.0,2585514000.0,5690861000.0,4567023000.0
Inventory,1861441000.0,1173102000.0,1293912000.0,1061839000.0,1418673000.0
Accounts Payable,583004000.0,489600000.0,407021000.0,463208000.0,562992000.0
Short Term Investments,,,,598806000.0,
