,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,1665100000.0,1584000000.0,1811000000.0,1853200000.0
Capital Surplus,2180100000.0,2283000000.0,2369100000.0,2490900000.0
Total Liab,4094900000.0,3829700000.0,4794400000.0,4863600000.0
Total Stockholder Equity,1925400000.0,2070600000.0,2260800000.0,2698200000.0
Other Current Liab,410700000.0,426300000.0,702000000.0,597600000.0
Total Assets,6020300000.0,5900300000.0,7055200000.0,7561800000.0
Common Stock,100000.0,100000.0,100000.0,100000.0
Other Current Assets,39100000.0,47400000.0,28300000.0,32300000.0
Retained Earnings,3308000000.0,3942600000.0,4228400000.0,4762200000.0
Other Liab,472900000.0,454600000.0,442900000.0,461600000.0
Good Will,3368700000.0,3361500000.0,3864300000.0,4108100000.0
Treasury Stock,-3562800000.0,-4155100000.0,-4336800000.0,-4555000000.0
Other Assets,230400000.0,104700000.0,253300000.0,182200000.0
Cash,142300000.0,139500000.0,184600000.0,218800000.0
Total Current Liabilities,1337600000.0,1324600000.0,1491800000.0,1430800000.0
Deferred Long Term Asset Charges,15900000.0,11100000.0,9800000.0,9100000.0
Short Long Term Debt,,250000000.0,,449900000.0
Other Stockholder Equity,-412300000.0,-591900000.0,-486900000.0,-375700000.0
Property Plant Equipment,158500000.0,199700000.0,354600000.0,431500000.0
Total Current Assets,597600000.0,644500000.0,744900000.0,794200000.0
Long Term Investments,8400000.0,5900000.0,27100000.0,192600000.0
Net Tangible Assets,-3108400000.0,-2874900000.0,-3414500000.0,-3263100000.0
Short Term Investments,3800000.0,3300000.0,3600000.0,4100000.0
Net Receivables,374300000.0,390400000.0,467500000.0,457800000.0
Long Term Debt,2276800000.0,2031000000.0,2648300000.0,2689300000.0
Accounts Payable,68900000.0,74700000.0,80000000.0,99300000.0
