,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-163367000.0,-83813000.0,-5700000.0,359200000.0,-105900000.0
Change To Liabilities,8753000.0,36554000.0,-22800000.0,51300000.0,31900000.0
Total Cashflows From Investing Activities,-483329000.0,-202158000.0,-1235300000.0,99400000.0,-340900000.0
Net Borrowings,-288936000.0,-12548000.0,-29200000.0,-29000000.0,-24400000.0
Total Cash From Financing Activities,68404000.0,-71219000.0,126800000.0,-505300000.0,-1478000000.0
Change To Operating Activities,123254000.0,341583000.0,246300000.0,249700000.0,230400000.0
Issuance Of Stock,344840000.0,289293000.0,343200000.0,264900000.0,102000000.0
Net Income,263484000.0,2096896000.0,1176800000.0,2711700000.0,2342100000.0
Change In Cash,435819000.0,990727000.0,462400000.0,2868200000.0,811200000.0
Repurchase Of Stock,-350043000.0,-350043000.0,-192000000.0,-739400000.0,-1561300000.0
Effect Of Exchange Rate,5802000.0,-6182000.0,1600000.0,20600000.0,-13400000.0
Total Cash From Operating Activities,844942000.0,1270286000.0,1569300000.0,3253500000.0,2643500000.0
Depreciation,61397000.0,72420000.0,106900000.0,109500000.0,125600000.0
Change To Inventory,-47484000.0,-31965000.0,-64000000.0,-132000000.0,-92800000.0
Change To Account Receivables,-71759000.0,-108152000.0,-225600000.0,-223400000.0,-274700000.0
Other Cashflows From Financing Activities,12500000.0,2079000.0,4800000.0,-1800000.0,5700000.0
Change To Netincome,507297000.0,-1137050000.0,351700000.0,486700000.0,281000000.0
Capital Expenditures,-99421000.0,-95449000.0,-75400000.0,-259800000.0,-235000000.0
Other Cashflows From Investing Activities,-60541000.0,-22896000.0,,,
