,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-83437000.0,-40669000.0,-93941000.0,-56497000.0,-2519000.0,7364000.0,-84191000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,992432000.0,1187565000.0,18183000.0,-139140000.0,-1065994000.0,-1783338000.0,-1527796000.0
Net Borrowings,429790000.0,-758999000.0,-139770000.0,656019000.0,-1079793000.0,273098000.0,471436000.0
Total Cash From Financing Activities,39986000.0,-1161886000.0,-414663000.0,371903000.0,-1020017000.0,987033000.0,1228745000.0
Change To Operating Activities,52378000.0,18095000.0,-17679000.0,-4406000.0,22975000.0,79355000.0,-20370000.0
Issuance Of Stock,4312000.0,366464000.0,366464000.0,366464000.0,366464000.0,1000000000.0,981737000.0
Net Income,179246000.0,325585000.0,163729000.0,71546000.0,26257000.0,179663000.0,58672000.0
Change In Cash,1433177000.0,329091000.0,-134291000.0,537779000.0,-1750118000.0,-446059000.0,-15890000.0
Effect Of Exchange Rate,1000000.0,5444000.0,7017000.0,1358000.0,638000.0,-2836000.0,-169000.0
Total Cash From Operating Activities,399759000.0,297968000.0,255172000.0,303658000.0,335255000.0,353082000.0,283330000.0
Depreciation,268655000.0,257833000.0,245836000.0,248163000.0,245076000.0,271732000.0,288207000.0
Other Cashflows From Investing Activities,-12962000.0,-6567000.0,-6567000.0,-6567000.0,-7195000.0,16074000.0,5207000.0
Dividends Paid,-256169000.0,-253268000.0,-255117000.0,-254915000.0,-254750000.0,-260792000.0,-265449000.0
Change To Account Receivables,11589000.0,-55622000.0,-53834000.0,-1579000.0,-12690000.0,-69537000.0,-38311000.0
Other Cashflows From Financing Activities,-130291000.0,-149619000.0,-19776000.0,-29201000.0,-51938000.0,-25273000.0,41021000.0
Change To Netincome,-112109000.0,-247923000.0,-82880000.0,-10066000.0,53637000.0,-108131000.0,-4868000.0
Repurchase Of Stock,-7656000.0,,,,,,
