,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Change To Liabilities,-745000000.0,877000000.0,569000000.0,295000000.0,48000000.0,324000000.0,412000000.0,-138000000.0,-89000000.0,-528000000.0
Total Cashflows From Investing Activities,-72000000.0,-96000000.0,-13000000.0,-60000000.0,-219000000.0,-167000000.0,-214000000.0,-12000000.0,-130000000.0,-191000000.0
Net Borrowings,-208000000.0,-10000000.0,-1734000000.0,-2000000.0,-2000000.0,3000000.0,-2000000.0,9000000.0,9000000.0,-9000000.0
Total Cash From Financing Activities,-288000000.0,-74000000.0,-1784000000.0,-234000000.0,-98000000.0,-524000000.0,-483000000.0,-631000000.0,-391000000.0,-173000000.0
Change To Operating Activities,299000000.0,515000000.0,63000000.0,-304000000.0,75000000.0,193000000.0,-140000000.0,-482000000.0,-11000000.0,238000000.0
Issuance Of Stock,13000000.0,13000000.0,28000000.0,31000000.0,44000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1000000.0
Net Income,35000000.0,397000000.0,497000000.0,433000000.0,581000000.0,471000000.0,298000000.0,313000000.0,-371000000.0,143000000.0
Change In Cash,-291000000.0,995000000.0,-607000000.0,-170000000.0,204000000.0,-93000000.0,169000000.0,-930000000.0,-472000000.0,152000000.0
Repurchase Of Stock,-150000000.0,-150000000.0,-150000000.0,-150000000.0,-50000000.0,-441000000.0,-400000000.0,-533000000.0,-300000000.0,-70000000.0
Effect Of Exchange Rate,13000000.0,13000000.0,97000000.0,-58000000.0,57000000.0,-50000000.0,-16000000.0,41000000.0,-29000000.0,-44000000.0
Total Cash From Operating Activities,69000000.0,1152000000.0,1093000000.0,182000000.0,464000000.0,648000000.0,882000000.0,-328000000.0,148000000.0,490000000.0
Depreciation,133000000.0,146000000.0,154000000.0,141000000.0,118000000.0,119000000.0,116000000.0,112000000.0,114000000.0,118000000.0
Dividends Paid,-80000000.0,-77000000.0,-79000000.0,-79000000.0,-88000000.0,-86000000.0,-85000000.0,-103000000.0,-97000000.0,-95000000.0
Change To Inventory,426000000.0,-65000000.0,83000000.0,-332000000.0,-195000000.0,-258000000.0,137000000.0,-384000000.0,-242000000.0,267000000.0
Change To Account Receivables,-69000000.0,-719000000.0,-277000000.0,-58000000.0,-42000000.0,-189000000.0,57000000.0,248000000.0,14000000.0,248000000.0
Change To Netincome,-10000000.0,1000000.0,4000000.0,7000000.0,-121000000.0,-12000000.0,2000000.0,3000000.0,733000000.0,4000000.0
Capital Expenditures,-73000000.0,-96000000.0,-159000000.0,-73000000.0,-111000000.0,-122000000.0,-219000000.0,-87000000.0,-130000000.0,-117000000.0
Other Cashflows From Financing Activities,1000000.0,1000000.0,1000000.0,-36000000.0,-2000000.0,-1000000.0,4000000.0,3000000.0,-3000000.0,
Other Cashflows From Investing Activities,146000000.0,146000000.0,146000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,
