,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,17000000.0,17000000.0,18000000.0,1031000000.0,1030000000.0,1029000000.0,13000000.0,1015000000.0,1015000000.0
Capital Surplus,2675000000.0,2680000000.0,2686000000.0,2653000000.0,2565000000.0,2245000000.0,1928000000.0,1889000000.0,1845000000.0
Total Liab,68872000000.0,70689000000.0,73593000000.0,77188000000.0,79175000000.0,80532000000.0,85737000000.0,84832000000.0,82152000000.0
Total Stockholder Equity,7009000000.0,7102000000.0,7320000000.0,7367000000.0,7593000000.0,7334000000.0,7023000000.0,5854000000.0,5192000000.0
Total Assets,76447000000.0,78357000000.0,81479000000.0,85121000000.0,87208000000.0,88306000000.0,93200000000.0,91126000000.0,87784000000.0
Other Current Assets,342000000.0,337000000.0,335000000.0,327000000.0,301000000.0,299000000.0,309000000.0,43000000.0,42000000.0
Retained Earnings,3979000000.0,4090000000.0,4309000000.0,4566000000.0,4853000000.0,5025000000.0,5175000000.0,5311000000.0,5447000000.0
Other Liab,698000000.0,714000000.0,754000000.0,702000000.0,748000000.0,781000000.0,726000000.0,1154000000.0,1402000000.0
Treasury Stock,355000000.0,332000000.0,325000000.0,148000000.0,175000000.0,64000000.0,-80000000.0,-1346000000.0,-2100000000.0
Other Assets,55554000000.0,55223000000.0,54069000000.0,54137000000.0,52569000000.0,51851000000.0,52018000000.0,52785000000.0,54219000000.0
Cash,836000000.0,3380000000.0,6308000000.0,1891000000.0,2239000000.0,2455000000.0,2728000000.0,3045000000.0,2832000000.0
Total Current Liabilities,66609000000.0,68394000000.0,71312000000.0,74993000000.0,76915000000.0,78520000000.0,83792000000.0,82989000000.0,80079000000.0
Other Stockholder Equity,355000000.0,332000000.0,325000000.0,148000000.0,175000000.0,64000000.0,-80000000.0,-1346000000.0,-2100000000.0
Property Plant Equipment,1382000000.0,1404000000.0,1422000000.0,1440000000.0,1441000000.0,1478000000.0,1514000000.0,1346000000.0,1372000000.0
Total Current Assets,3405000000.0,5244000000.0,8402000000.0,11102000000.0,13115000000.0,12785000000.0,13919000000.0,8567000000.0,4427000000.0
Long Term Investments,15075000000.0,15453000000.0,16554000000.0,17411000000.0,19053000000.0,21163000000.0,24722000000.0,27413000000.0,26751000000.0
Net Tangible Assets,5995000000.0,6086000000.0,6304000000.0,6351000000.0,6578000000.0,6319000000.0,6008000000.0,4839000000.0,4177000000.0
Short Term Investments,1579000000.0,856000000.0,1074000000.0,8427000000.0,10086000000.0,9442000000.0,10283000000.0,5093000000.0,1249000000.0
Long Term Debt,1349000000.0,1343000000.0,1332000000.0,1295000000.0,1304000000.0,1016000000.0,1008000000.0,689000000.0,671000000.0
Accounts Payable,65684000000.0,67094000000.0,69653000000.0,73853000000.0,76105000000.0,77884000000.0,82789000000.0,82351000000.0,79061000000.0
Deferred Long Term Asset Charges,,,,,,,96000000.0,467000000.0,
Inventory,5000000.0,6000000.0,4000000.0,3000000.0,23000000.0,21000000.0,8000000.0,4000000.0,
Good Will,1014000000.0,1016000000.0,1014000000.0,,,,1014000000.0,,
Common Stock,,,,2653000000.0,,,,,
