,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,14319000.0,14067000.0,13814000.0,6657000.0,13310000.0,13842000.0,13550000.0,20907000.0,60084000.0,45446000.0,39901000.0
Capital Surplus,4288603000.0,4351557000.0,4475425000.0,4574934000.0,4684227000.0,4790079000.0,4891043000.0,5059528000.0,5133804000.0,5216308000.0,5292789000.0
Total Liab,350132000.0,342994000.0,366434000.0,367088000.0,363469000.0,381719000.0,454423000.0,498495000.0,458530000.0,557943000.0,547667000.0
Total Stockholder Equity,1938480000.0,1906630000.0,1934604000.0,2242371000.0,2328823000.0,2503927000.0,2698367000.0,3038743000.0,3099660000.0,3136089000.0,3144542000.0
Total Assets,2288612000.0,2249624000.0,2301038000.0,2609459000.0,2692292000.0,2885646000.0,3152790000.0,3537238000.0,3558190000.0,3694032000.0,3692209000.0
Common Stock,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,7000.0,7000.0,7000.0,7000.0,7000.0
Other Current Assets,4287000.0,3210000.0,1470000.0,571000.0,571000.0,299000.0,2813000.0,1137000.0,1137000.0,1834000.0,1869000.0
Retained Earnings,-2347922000.0,-2448670000.0,-2542890000.0,-2335049000.0,-2356723000.0,-2287306000.0,-2193310000.0,-2018611000.0,-2023892000.0,-2066968000.0,-2132149000.0
Other Liab,21035000.0,25095000.0,26623000.0,22936000.0,24910000.0,22638000.0,24081000.0,29508000.0,30396000.0,14545000.0,19748000.0
Good Will,,,,6905000.0,,,,40208000.0,,100227000.0,100227000.0
Treasury Stock,-2207000.0,3737000.0,2063000.0,2480000.0,1313000.0,1148000.0,627000.0,-2181000.0,-10259000.0,-13258000.0,-16105000.0
Other Assets,29521000.0,29108000.0,13201000.0,13065000.0,12320000.0,12159000.0,10618000.0,13247000.0,13289000.0,17890000.0,16795000.0
Cash,740833000.0,863620000.0,652723000.0,669230000.0,913740000.0,1012928000.0,1231931000.0,1419630000.0,1683792000.0,1641509000.0,1671320000.0
Total Current Liabilities,170799000.0,166617000.0,189649000.0,204831000.0,209000000.0,237449000.0,240994000.0,259806000.0,225565000.0,350855000.0,344675000.0
Other Stockholder Equity,-2207000.0,3737000.0,2063000.0,2480000.0,1313000.0,1148000.0,627000.0,-2181000.0,-10259000.0,-13258000.0,-16105000.0
Property Plant Equipment,263284000.0,248256000.0,241097000.0,225291000.0,209487000.0,195934000.0,257500000.0,281313000.0,277465000.0,284399000.0,273234000.0
Total Current Assets,1981488000.0,1958193000.0,2032926000.0,2357541000.0,2457175000.0,2663711000.0,2871122000.0,3181563000.0,3207352000.0,3246070000.0,3262052000.0
Net Tangible Assets,1924161000.0,1892563000.0,1920790000.0,2228809000.0,2315513000.0,2490085000.0,2684817000.0,2977628000.0,3039576000.0,2990416000.0,3004414000.0
Short Term Investments,995875000.0,839470000.0,996392000.0,1091076000.0,1119962000.0,1130398000.0,1075465000.0,1060488000.0,994346000.0,1017510000.0,994150000.0
Net Receivables,212215000.0,209933000.0,339274000.0,563733000.0,389206000.0,468181000.0,505021000.0,653355000.0,473031000.0,511468000.0,511054000.0
Accounts Payable,37749000.0,43705000.0,41703000.0,49491000.0,48585000.0,48038000.0,57612000.0,17675000.0,12546000.0,57906000.0,88601000.0
