Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-10,0.05,0.05,0.05,0.05,1,0,0
2021-02-16,0.03,0.03,0.03,0.03,34,0,0
2021-02-18,0.05,0.05,0.05,0.05,79,0,0
2021-02-19,0.01,0.04,0.01,0.02,1446,0,0
2021-02-22,0.03,0.03,0.03,0.03,10,0,0
2021-02-23,0.1,0.1,0.06,0.08,21,0,0
2021-02-24,0.05,0.05,0.03,0.04,149,0,0
2021-02-25,0.03,0.1,0.03,0.1,195,0,0
2021-02-26,0.07,0.08,0.03,0.05,3198,0,0
2021-03-01,0.03,0.03,0.01,0.01,3324,0,0
2021-03-03,0.01,0.01,0.01,0.01,24842,0,0
2021-03-04,0.02,0.03,0.01,0.02,7178,0,0
2021-03-05,0.04,0.04,0.01,0.01,1486,0,0
2021-03-11,0.01,0.01,0.01,0.01,3,0,0
