Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-01,1.65,3.05,1.52,3.0,133677,0,0
2021-03-02,3.2,3.2,1.97,1.97,69447,0,0
2021-03-03,1.86,2.02,1.23,1.26,89044,0,0
2021-03-04,1.18,1.5,0.83,0.83,90842,0,0
2021-03-05,0.85,0.92,0.57,0.84,123044,0,0
2021-03-08,0.62,0.62,0.39,0.42,71676,0,0
2021-03-09,0.54,0.6,0.39,0.48,403859,0,0
2021-03-10,0.51,0.51,0.32,0.34,121806,0,0
2021-03-11,0.59,0.63,0.36,0.36,367791,0,0
2021-03-12,0.25,0.26,0.19,0.2,288136,0,0
2021-03-15,0.2,0.43,0.12,0.35,1132183,0,0
2021-03-16,0.6,0.85,0.28,0.39,5075648,0,0
2021-03-17,0.21,0.36,0.1,0.18,1384603,0,0
2021-03-18,0.07,0.09,0.02,0.02,880685,0,0
2021-03-19,0.02,0.02,0.01,0.01,207112,0,0
