Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-28,6.5,6.5,3.11,3.11,46,0,0
2020-12-29,2.87,2.87,2.5,2.58,27,0,0
2020-12-30,1.95,1.95,1.93,1.93,11,0,0
2020-12-31,1.6,1.6,1.53,1.55,12,0,0
2021-01-04,1.84,1.84,1.17,1.17,9,0,0
2021-01-05,1.2,1.35,1.2,1.35,3,0,0
2021-01-06,1.1,1.11,1.1,1.11,12,0,0
2021-01-07,1.25,1.65,1.25,1.3,11,0,0
2021-01-08,1.85,2.05,1.25,1.25,44,0,0
2021-01-11,0.2,0.2,0.2,0.2,1,0,0
2021-01-12,3.36,3.36,3.3,3.3,25,0,0
2021-01-13,5.8,6.7,4.75,4.8,705,0,0
2021-01-14,5.3,8.28,5.3,6.5,515,0,0
2021-01-15,4.95,4.95,3.45,3.58,50,0,0
2021-01-19,2.99,3.8,2.99,3.13,83,0,0
2021-01-20,2.96,2.96,1.47,1.5,109,0,0
2021-01-21,1.62,4.5,1.15,3.9,719,0,0
2021-01-22,4.0,4.05,3.34,3.9,115,0,0
2021-01-25,5.3,6.3,2.65,2.65,1025,0,0
2021-01-26,3.69,5.2,3.69,5.2,214,0,0
2021-01-27,6.8,13.7,5.0,5.6,2396,0,0
2021-01-28,7.44,10.39,3.5,3.8,1751,0,0
2021-01-29,3.2,4.87,2.8,3.3,398,0,0
2021-02-01,2.35,3.1,1.95,2.0,22964,0,0
2021-02-02,2.6,2.6,1.3,1.38,5984,0,0
2021-02-03,1.49,3.0,1.4,1.73,4599,0,0
2021-02-04,2.5,2.54,1.95,2.22,244,0,0
2021-02-05,2.36,2.36,1.39,1.96,1088,0,0
2021-02-08,1.2,1.74,0.77,1.5,7556,0,0
2021-02-09,1.13,2.5,0.8,0.8,6828,0,0
2021-02-10,1.75,3.35,1.15,2.6,27160,0,0
2021-02-11,1.96,4.85,1.52,3.05,25369,0,0
2021-02-12,1.71,2.28,0.97,1.34,27911,0,0
2021-02-16,1.18,1.8,0.36,0.36,35743,0,0
2021-02-17,0.4,0.4,0.1,0.11,5298,0,0
2021-02-18,0.05,0.1,0.02,0.02,1356,0,0
2021-02-19,0.01,0.01,0.01,0.01,336,0,0
