Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-08,2.75,2.75,2.75,2.75,1,0,0
2021-02-09,2.5,2.5,2.5,2.5,4,0,0
2021-02-10,2.2,2.2,1.79,1.79,33,0,0
2021-02-11,1.5,1.5,1.5,1.5,10,0,0
2021-02-12,1.5,1.5,1.24,1.24,6,0,0
2021-02-17,1.47,1.66,1.47,1.49,43,0,0
2021-02-22,0.95,0.95,0.95,0.95,7,0,0
2021-02-23,2.0,2.5,1.57,1.57,15,0,0
2021-02-24,0.96,0.96,0.96,0.96,9,0,0
2021-02-25,1.41,3.0,1.41,2.91,79,0,0
2021-02-26,1.0,1.0,0.46,0.49,69,0,0
2021-03-01,0.51,0.52,0.21,0.21,272,0,0
2021-03-02,0.2,0.32,0.2,0.2,7,0,0
2021-03-03,0.6,0.73,0.37,0.71,83,0,0
2021-03-04,0.8,1.55,0.63,0.9,1062,0,0
2021-03-05,1.07,3.75,0.77,0.79,5209,0,0
2021-03-08,0.75,0.75,0.26,0.35,1188,0,0
2021-03-09,0.12,0.2,0.07,0.2,80,0,0
2021-03-10,0.04,0.12,0.04,0.12,221,0,0
2021-03-11,0.03,0.05,0.01,0.01,27,0,0
