Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-27,221.35,221.35,221.35,221.35,3,0,0
2021-01-29,255.75,255.75,255.75,255.75,1,0,0
2021-02-02,124.8,125.8,124.8,125.8,3,0,0
2021-02-03,105.8,127.02,89.78,125.25,53,0,0
2021-02-05,91.75,93.05,82.65,93.05,99,0,0
2021-02-08,102.9,117.65,102.9,111.4,92,0,0
2021-02-09,108.95,114.4,108.85,114.4,22,0,0
2021-02-10,130.39,130.39,121.95,121.95,6,0,0
2021-02-11,126.25,140.05,126.25,140.05,6,0,0
2021-02-12,134.7,134.7,119.7,119.7,19,0,0
2021-02-16,98.55,113.05,98.55,113.05,9,0,0
2021-02-17,103.4,103.4,81.35,83.2,45,0,0
2021-02-18,112.55,112.55,65.5,67.9,794,0,0
2021-02-19,66.65,124.45,66.65,124.45,488,0,0
2021-02-22,168.6,168.6,168.6,168.6,1,0,0
2021-02-23,235.9,235.9,235.9,235.9,3,0,0
2021-02-24,212.11,219.63,212.11,219.63,58,0,0
2021-02-25,228.65,292.7,228.65,292.7,5,0,0
