Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-08,107.8,107.8,93.8,94.79,87,0,0
2021-02-09,94.2,94.2,94.2,94.2,1,0,0
2021-02-10,76.16,76.95,76.16,76.95,9,0,0
2021-02-16,65.05,65.05,65.05,65.05,2,0,0
2021-02-18,79.7,79.7,76.17,76.17,6,0,0
2021-02-19,64.2,64.2,42.9,42.9,120,0,0
2021-02-22,33.45,33.45,27.38,27.38,2,0,0
2021-02-23,15.75,25.05,15.75,25.05,45,0,0
2021-02-24,19.0,19.0,17.33,17.65,19,0,0
2021-02-25,12.2,12.2,12.2,12.2,56,0,0
2021-02-26,9.2,9.8,8.2,9.37,308,0,0
2021-03-01,6.25,6.3,4.4,4.4,39,0,0
2021-03-02,4.85,5.4,3.15,3.15,279,0,0
2021-03-03,2.35,2.35,1.58,1.58,340,0,0
2021-03-04,1.99,2.21,1.64,1.97,310,0,0
2021-03-05,1.81,2.08,1.56,1.56,29,0,0
2021-03-08,1.83,1.83,1.32,1.37,52,0,0
2021-03-09,1.3,1.69,1.04,1.04,61,0,0
2021-03-10,0.68,0.81,0.66,0.81,62,0,0
2021-03-11,0.53,0.53,0.35,0.35,21,0,0
