Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-08,1.24,1.24,1.24,1.24,21,0,0
2021-03-09,1.5,1.5,1.5,1.5,20,0,0
2021-03-10,2.04,2.83,2.04,2.83,27,0,0
2021-03-11,3.4,4.1,2.8,2.93,432,0,0
2021-03-12,4.2,7.6,4.2,7.47,2922,0,0
2021-03-15,8.46,10.0,5.67,5.73,1715,0,0
2021-03-16,5.0,5.0,2.94,2.94,2385,0,0
2021-03-17,3.2,4.23,0.11,4.23,146,0,0
2021-03-18,4.2,5.45,2.88,3.1,1827,0,0
2021-03-19,2.46,2.8,2.38,2.45,211,0,0
2021-03-22,2.23,2.23,1.17,1.35,6040,0,0
2021-03-23,1.19,1.19,0.9,0.93,3324,0,0
2021-03-24,1.05,1.21,0.81,0.83,121,0,0
2021-03-25,0.96,1.09,0.79,1.05,145,0,0
2021-03-26,1.07,1.33,0.74,0.74,145,0,0
2021-03-29,1.26,1.39,0.98,0.98,2534,0,0
2021-03-30,1.07,1.07,0.71,0.72,258,0,0
2021-03-31,0.9,0.9,0.52,0.52,3268,0,0
2021-04-01,0.55,0.55,0.28,0.29,5086,0,0
2021-04-05,0.3,0.38,0.1,0.13,19118,0,0
2021-04-06,0.11,0.12,0.09,0.1,15330,0,0
2021-04-07,0.08,0.09,0.05,0.06,1158,0,0
2021-04-08,0.05,0.05,0.02,0.02,8941,0,0
2021-04-09,0.01,0.02,0.01,0.01,385,0,0
