Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-10,88.05,88.05,88.05,88.05,0,0,0
2021-02-16,88.05,88.05,87.42,87.42,15,0,0
2021-02-17,84.99,84.99,84.99,84.99,25,0,0
2021-02-24,72.45,72.45,72.45,72.45,1,0,0
2021-03-01,76.27,76.27,76.27,76.27,1,0,0
2021-03-02,77.59,77.59,77.59,77.59,1,0,0
2021-03-10,56.8,57.0,56.8,57.0,8,0,0
2021-03-11,49.0,51.55,49.0,51.55,6,0,0
2021-03-12,41.51,41.51,38.2,38.45,41,0,0
2021-03-15,34.3,39.12,34.0,39.12,18,0,0
2021-03-16,44.07,48.12,44.07,48.12,24,0,0
2021-03-18,41.15,41.15,39.85,41.15,11,0,0
2021-03-19,45.09,47.0,45.09,47.0,15,0,0
2021-03-22,46.0,48.3,46.0,48.3,8,0,0
2021-03-23,56.25,57.2,56.25,57.2,4,0,0
2021-03-24,57.0,59.1,57.0,59.1,14,0,0
2021-03-29,49.03,51.77,49.03,49.45,8,0,0
2021-03-30,50.63,50.63,50.6,50.6,16,0,0
2021-04-01,48.3,48.3,48.3,48.3,1,0,0
2021-04-05,41.47,41.47,41.47,41.47,2,0,0
2021-04-09,49.61,49.61,49.61,49.61,5,0,0
2021-04-12,51.77,52.55,51.77,52.02,19,0,0
2021-04-13,51.62,51.62,51.62,51.62,43,0,0
2021-04-16,51.1,51.1,51.1,51.1,1,0,0
