Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-20,4.65,4.65,4.65,4.65,1,0,0
2020-08-25,3.47,3.47,3.47,3.47,10,0,0
2020-08-26,3.55,3.55,3.55,3.55,2,0,0
2020-08-28,3.8,3.8,3.8,3.8,4,0,0
2020-08-31,3.55,3.55,3.55,3.55,4,0,0
2020-09-01,3.4,3.4,3.4,3.4,12,0,0
2020-09-02,3.7,3.95,3.7,3.95,24,0,0
2020-09-09,3.75,3.75,3.75,3.75,1,0,0
2020-09-11,3.2,3.2,3.2,3.2,2,0,0
2020-10-07,2.21,2.21,2.21,2.21,20,0,0
2020-10-09,1.81,1.9,1.81,1.88,135,0,0
2020-10-15,2.08,2.08,2.08,2.08,1,0,0
2020-10-30,2.49,2.49,2.49,2.49,21,0,0
2020-11-04,2.3,2.3,2.3,2.3,3,0,0
2020-11-05,2.42,2.42,2.42,2.42,8,0,0
2020-11-11,3.22,3.22,3.22,3.22,1,0,0
2020-11-12,3.0,3.0,3.0,3.0,222,0,0
2020-11-13,3.15,3.4,3.15,3.4,73,0,0
2020-11-16,3.15,3.15,2.89,2.89,18,0,0
2020-11-18,2.69,2.8,2.69,2.8,4,0,0
2020-11-19,2.34,2.41,2.27,2.27,97,0,0
2020-11-20,1.93,1.93,1.85,1.85,178,0,0
2020-11-24,1.32,1.32,1.32,1.32,0,0,0
2020-11-30,1.36,1.36,1.36,1.36,2,0,0
2020-12-07,1.12,1.12,1.12,1.12,1,0,0
2020-12-09,0.95,1.02,0.95,1.02,6,0,0
2020-12-11,0.91,0.91,0.91,0.91,1,0,0
2020-12-15,1.11,1.19,1.11,1.15,214,0,0
2020-12-21,1.1,1.1,0.97,0.97,12,0,0
2020-12-22,0.88,0.89,0.88,0.89,3,0,0
2020-12-23,0.93,0.93,0.93,0.93,4,0,0
2020-12-28,4.5,5.51,2.97,3.15,24879,0,0
2020-12-29,2.38,2.38,1.76,1.91,12555,0,0
2020-12-30,1.72,2.06,1.72,1.93,942,0,0
2020-12-31,1.97,2.04,1.91,1.97,484,0,0
2021-01-04,2.21,2.55,2.06,2.18,8454,0,0
2021-01-05,2.19,2.19,1.53,1.54,1959,0,0
2021-01-06,1.7,2.87,1.58,2.79,2001,0,0
2021-01-07,2.54,3.26,2.54,2.9,223000,0,0
2021-01-08,2.49,2.58,1.81,1.93,3997,0,0
2021-01-11,2.44,3.12,2.39,3.04,2235,0,0
2021-01-12,2.81,3.06,2.73,3.05,210,0,0
2021-01-13,2.56,2.83,1.62,1.89,1996,0,0
2021-01-14,1.25,1.39,1.07,1.19,7260,0,0
2021-01-15,1.04,1.1,0.94,1.1,606,0,0
2021-01-19,0.89,0.89,0.64,0.65,1525,0,0
2021-01-20,0.86,0.95,0.39,0.49,6043,0,0
2021-01-21,0.52,0.54,0.5,0.5,413,0,0
2021-01-22,0.5,0.5,0.39,0.4,756,0,0
2021-01-25,0.3,0.32,0.25,0.3,383,0,0
2021-01-26,0.25,0.26,0.23,0.24,286,0,0
2021-01-27,0.28,0.3,0.23,0.3,117,0,0
2021-01-28,0.43,0.43,0.24,0.24,37,0,0
2021-01-29,0.29,0.38,0.28,0.32,78,0,0
2021-02-01,0.24,0.24,0.14,0.17,457,0,0
2021-02-02,0.16,0.16,0.07,0.11,562,0,0
2021-02-03,0.05,0.05,0.04,0.04,8,0,0
2021-02-04,0.06,0.08,0.06,0.08,94,0,0
2021-02-05,0.07,0.07,0.06,0.06,2,0,0
2021-02-08,0.07,0.08,0.07,0.07,72,0,0
2021-02-09,0.06,0.06,0.04,0.04,28,0,0
2021-02-10,0.03,0.04,0.03,0.04,60,0,0
2021-02-11,0.03,0.03,0.03,0.03,11,0,0
2021-02-12,0.03,0.03,0.02,0.02,6,0,0
2021-02-16,0.01,0.01,0.01,0.01,13,0,0
2021-02-17,0.16,0.16,0.01,0.01,19,0,0
2021-02-18,0.01,0.01,0.01,0.01,6,0,0
