Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-12,4.68,5.45,4.49,5.0,56175,0,0
2020-10-13,5.0,5.4,4.75,5.2,2027,0,0
2020-10-14,5.35,5.35,4.2,4.2,415,0,0
2020-10-15,4.15,4.15,4.05,4.05,399,0,0
2020-10-16,4.3,4.3,3.9,4.3,2637,0,0
2020-10-19,4.5,4.5,3.15,3.2,1652,0,0
2020-10-20,3.35,3.37,3.35,3.35,265,0,0
2020-10-23,2.78,2.78,2.78,2.78,1,0,0
2020-10-26,3.15,3.15,2.81,2.81,30,0,0
2020-10-27,4.05,4.05,3.9,3.9,5,0,0
2020-10-29,3.83,3.85,3.7,3.85,208,0,0
2020-11-02,3.65,3.75,3.5,3.75,370,0,0
2020-11-03,2.07,2.61,1.83,1.85,147,0,0
2020-11-04,2.48,2.48,1.89,1.97,116,0,0
2020-11-05,1.5,1.88,1.45,1.88,70,0,0
2020-11-06,1.92,2.19,1.83,2.19,35,0,0
2020-11-09,2.09,2.28,1.65,1.72,337,0,0
2020-11-10,1.38,1.56,1.38,1.38,221,0,0
