Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-19,12.6,18.75,12.6,14.9,2340,0,0
2021-01-20,18.4,18.4,14.6,14.6,699,0,0
2021-01-21,15.28,15.28,11.6,12.5,823,0,0
2021-01-22,11.6,17.35,11.6,17.1,6675,0,0
2021-01-25,22.72,24.8,16.9,18.25,3102,0,0
2021-01-26,15.04,16.0,13.9,14.37,4687,0,0
2021-01-27,12.85,14.08,10.6,12.25,1723,0,0
2021-01-28,12.05,14.0,10.93,10.93,2002,0,0
2021-01-29,10.33,10.55,8.3,8.3,4505,0,0
2021-02-01,11.15,11.5,9.0,10.95,1691,0,0
2021-02-02,12.4,15.35,11.9,14.4,1682,0,0
2021-02-03,15.0,18.0,14.0,17.35,2325,0,0
2021-02-04,27.74,27.74,21.43,23.1,1210,0,0
2021-02-05,19.65,20.65,19.4,19.6,130,0,0
2021-02-08,20.77,24.0,20.77,22.3,639,0,0
2021-02-09,20.9,24.45,18.45,19.29,2896,0,0
2021-02-10,16.28,32.8,16.28,30.95,6780,0,0
2021-02-11,33.4,33.4,25.5,25.5,70,0,0
2021-02-12,26.75,30.0,26.75,28.55,1129,0,0
2021-02-16,30.94,30.94,23.15,23.5,220,0,0
2021-02-17,25.0,25.0,21.4,23.35,304,0,0
2021-02-18,19.9,21.05,18.8,19.95,800,0,0
2021-02-19,22.64,25.6,20.0,20.17,235,0,0
2021-02-22,14.0,16.0,11.75,12.35,7042,0,0
2021-02-23,10.57,12.9,6.3,12.42,17449,0,0
2021-02-24,11.15,11.47,8.4,10.2,80353,0,0
2021-02-25,16.07,18.89,9.75,10.55,41072,0,0
2021-02-26,10.8,11.0,6.3,6.9,172211,0,0
2021-03-01,10.0,18.1,8.56,18.0,35613,0,0
2021-03-02,14.9,16.31,12.56,12.66,1181,0,0
2021-03-03,17.23,18.0,12.0,13.07,2007,0,0
2021-03-04,9.51,9.51,5.0,6.85,79310,0,0
2021-03-05,6.6,6.6,2.05,3.85,148866,0,0
2021-03-08,2.1,2.32,0.76,1.1,77261,0,0
2021-03-09,1.8,1.8,1.11,1.29,21479,0,0
2021-03-10,1.68,1.68,0.63,0.65,4913,0,0
2021-03-11,1.63,1.9,0.68,0.72,24151,0,0
2021-03-12,0.75,0.75,0.42,0.58,6040,0,0
2021-03-15,0.5,0.59,0.31,0.33,6547,0,0
2021-03-16,0.46,0.87,0.19,0.24,24973,0,0
2021-03-17,0.1,0.12,0.05,0.1,3343,0,0
2021-03-18,0.06,0.11,0.02,0.03,3032,0,0
2021-03-19,0.01,0.02,0.01,0.02,22,0,0
