Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-20,8.45,8.45,8.45,8.45,1,0,0
2021-04-22,4.57,4.57,4.57,4.57,1,0,0
2021-04-23,3.2,3.2,2.75,2.75,5,0,0
2021-04-26,2.5,2.5,2.5,2.5,2,0,0
2021-04-27,1.4,1.4,1.25,1.25,6,0,0
2021-04-28,1.37,1.37,1.37,1.37,0,0,0
2021-04-29,2.88,2.88,2.35,2.35,23,0,0
2021-04-30,3.15,3.28,3.0,3.0,14,0,0
2021-05-03,4.13,5.0,4.13,4.95,155,0,0
2021-05-04,4.7,6.05,4.7,5.2,10184,0,0
2021-05-06,6.05,6.49,5.83,5.83,9,0,0
2021-05-07,5.52,6.9,5.2,6.8,96,0,0
2021-05-10,8.36,11.4,8.36,11.19,6,0,0
2021-05-11,11.0,11.0,11.0,11.0,4,0,0
2021-05-12,12.4,12.4,12.07,12.25,46,0,0
2021-05-13,11.0,17.75,11.0,17.75,25,0,0
2021-05-14,9.35,9.85,6.97,6.97,6,0,0
