Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-25,5.69,6.35,5.69,6.35,8,0,0
2021-01-27,7.05,7.05,7.05,7.05,3,0,0
2021-02-02,8.32,8.32,7.55,7.94,43,0,0
2021-02-03,8.5,8.5,7.2,7.2,7,0,0
2021-02-04,8.35,8.95,8.35,8.9,114,0,0
2021-02-05,8.29,8.9,8.29,8.8,73,0,0
2021-02-08,9.75,9.95,8.05,8.3,1394,0,0
2021-02-09,8.1,8.25,7.9,7.9,38,0,0
2021-02-10,7.5,7.5,7.0,7.4,17,0,0
2021-02-11,10.0,10.35,8.9,9.39,579,0,0
2021-02-12,9.0,9.4,8.9,9.0,14,0,0
2021-02-16,11.3,14.42,11.3,13.4,274,0,0
2021-02-17,11.35,12.2,11.35,12.2,198,0,0
2021-02-18,10.7,11.7,10.15,11.7,287,0,0
2021-02-19,11.4,11.4,10.8,10.95,11,0,0
2021-02-22,8.8,9.2,7.4,7.75,3217,0,0
2021-02-23,5.78,6.75,4.85,5.8,1319,0,0
2021-02-24,5.05,8.0,4.79,7.73,2091,0,0
2021-02-25,6.8,7.25,3.92,4.18,1702,0,0
2021-02-26,1.62,1.62,0.21,0.23,5920,0,0
2021-03-01,0.13,0.13,0.08,0.08,6694,0,0
2021-03-02,0.08,0.08,0.05,0.05,564,0,0
2021-03-03,0.02,0.06,0.02,0.05,147,0,0
2021-03-04,0.01,0.02,0.01,0.02,459,0,0
2021-03-05,0.01,0.01,0.01,0.01,24,0,0
