Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-16,11.94,11.94,6.98,6.98,21,0,0
2021-02-17,7.5,7.5,7.4,7.4,14,0,0
2021-02-19,7.45,7.45,7.45,7.45,3,0,0
2021-02-22,8.81,8.81,8.45,8.45,28,0,0
2021-02-23,12.0,12.0,12.0,12.0,10,0,0
2021-02-24,10.9,10.9,10.9,10.9,19,0,0
2021-02-26,18.85,18.85,18.06,18.06,63,0,0
2021-03-02,19.88,19.88,19.88,19.88,3,0,0
2021-03-03,25.72,29.69,25.72,29.69,8,0,0
2021-03-16,20.4,20.4,20.4,20.4,14,0,0
2021-03-17,24.53,24.53,21.75,21.75,74,0,0
2021-03-18,24.74,24.74,24.74,24.74,10,0,0
2021-03-19,22.23,22.23,22.23,22.23,1,0,0
2021-03-24,23.32,23.33,23.32,23.33,2,0,0
2021-03-25,28.81,28.81,28.81,28.81,1,0,0
2021-03-26,27.16,28.5,27.16,27.19,46,0,0
2021-03-29,24.38,24.38,24.38,24.38,1,0,0
2021-03-30,25.61,25.61,23.77,23.77,7,0,0
2021-03-31,22.12,22.55,22.12,22.55,9,0,0
2021-04-01,17.25,17.3,17.0,17.18,50,0,0
