Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-19,191.6999969482422,191.6999969482422,191.6999969482422,191.6999969482422,0,0,0
2021-07-23,166.60000610351562,166.60000610351562,137.74000549316406,137.74000549316406,61,0,0
2021-07-26,139.11000061035156,139.11000061035156,137.5,137.5,34,0,0
2021-07-27,134.1199951171875,171.02999877929688,134.1199951171875,162.89999389648438,28,0,0
2021-07-28,129.0,130.0,128.3000030517578,130.0,7,0,0
2021-07-30,161.0,161.0,153.75,157.89999389648438,88,0,0
2021-08-03,159.30999755859375,159.30999755859375,144.00999450683594,144.00999450683594,39,0,0
2021-08-04,143.64999389648438,148.3000030517578,140.8000030517578,140.8000030517578,41,0,0
2021-08-05,137.5,137.5,137.5,137.5,2,0,0
2021-08-09,125.0,125.0,117.5,117.9000015258789,150,0,0
2021-08-10,118.0,119.19999694824219,118.0,119.19999694824219,3,0,0
2021-08-16,113.4000015258789,113.4000015258789,113.4000015258789,113.4000015258789,1,0,0
2021-08-17,123.5,123.5,121.5999984741211,121.5999984741211,5,0,0
2021-08-18,118.5,118.5,118.5,118.5,2,0,0
2021-08-19,134.39999389648438,134.39999389648438,134.39999389648438,134.39999389648438,1,0,0
2021-08-23,93.30000305175781,93.30000305175781,91.5,91.5,5,0,0
2021-08-26,79.0999984741211,79.0999984741211,79.0999984741211,79.0999984741211,0,0,0
2021-08-27,80.69999694824219,80.69999694824219,64.97000122070312,64.97000122070312,1,0,0
2021-08-30,61.0,61.0,60.099998474121094,60.099998474121094,4,0,0
2021-08-31,57.5,57.5,56.70000076293945,56.70000076293945,6,0,0
2021-09-09,55.599998474121094,58.11000061035156,55.599998474121094,58.11000061035156,3,0,0
2021-09-10,74.19999694824219,74.19999694824219,74.19999694824219,74.19999694824219,1,0,0
2021-09-13,69.19999694824219,69.19999694824219,69.19999694824219,69.19999694824219,2,0,0
2021-09-15,54.65999984741211,54.65999984741211,52.400001525878906,52.400001525878906,2,0,0
2021-09-17,77.0,77.0,75.19999694824219,75.19999694824219,17,0,0
2021-09-20,97.0,118.5,97.0,103.69999694824219,96,0,0
2021-09-21,101.80000305175781,101.80000305175781,90.0999984741211,90.0999984741211,82,0,0
2021-09-22,81.80000305175781,81.80000305175781,81.80000305175781,81.80000305175781,2,0,0
2021-09-23,77.77999877929688,77.77999877929688,69.55999755859375,69.55999755859375,7,0,0
2021-09-28,111.75,122.4000015258789,110.9000015258789,110.9000015258789,354,0,0
2021-09-29,131.0,131.0,131.0,131.0,0,0,0
2021-09-30,130.0,137.0,130.0,137.0,8,0,0
2021-10-01,135.0,135.0,133.0,133.0,3,0,0
2021-10-04,132.60000610351562,142.4499969482422,132.60000610351562,142.4499969482422,13,0,0
2021-10-05,110.30000305175781,110.30000305175781,106.0,106.0,8,0,0
2021-10-06,97.0999984741211,97.0999984741211,97.0999984741211,97.0999984741211,3,0,0
2021-10-07,75.77999877929688,75.77999877929688,75.77999877929688,75.77999877929688,5,0,0
2021-10-08,71.55000305175781,71.55000305175781,70.94999694824219,70.94999694824219,3,0,0
2021-10-11,66.9000015258789,66.9000015258789,66.30000305175781,66.30000305175781,13,0,0
2021-10-13,81.5199966430664,82.69999694824219,81.5199966430664,82.69999694824219,11,0,0
2021-10-15,44.459999084472656,44.459999084472656,42.2599983215332,42.599998474121094,16,0,0
2021-10-18,39.95000076293945,39.95000076293945,33.79999923706055,33.79999923706055,43,0,0
2021-10-19,28.860000610351562,28.860000610351562,28.860000610351562,28.860000610351562,3,0,0
2021-10-20,32.88999938964844,32.88999938964844,29.43000030517578,29.670000076293945,8,0,0
2021-10-21,35.20000076293945,35.20000076293945,35.20000076293945,35.20000076293945,0,0,0
2021-10-22,64.75,64.80000305175781,64.75,64.80000305175781,11,0,0
2021-10-25,58.20000076293945,58.20000076293945,55.0,55.0,64,0,0
2021-10-26,40.5,45.66999816894531,40.5,44.310001373291016,31,0,0
2021-10-27,22.68000030517578,22.68000030517578,5.900000095367432,8.199999809265137,403,0,0
2021-10-28,9.0,9.0,9.0,9.0,0,0,0
2021-10-29,9.079999923706055,9.079999923706055,6.5,6.699999809265137,166,0,0
2021-11-01,9.289999961853027,12.069999694824219,9.289999961853027,12.069999694824219,27,0,0
2021-11-02,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,2,0,0
2021-11-03,8.579999923706055,8.579999923706055,8.579999923706055,8.579999923706055,10,0,0
2021-11-04,5.0,5.099999904632568,4.300000190734863,4.300000190734863,27,0,0
2021-11-05,3.25,3.5299999713897705,3.25,3.490000009536743,28,0,0
2021-11-08,2.700000047683716,2.869999885559082,2.6700000762939453,2.869999885559082,12,0,0
2021-11-09,2.200000047683716,2.450000047683716,2.200000047683716,2.450000047683716,15,0,0
2021-11-10,2.619999885559082,2.619999885559082,2.619999885559082,2.619999885559082,2,0,0
2021-11-11,1.649999976158142,2.0,1.649999976158142,1.9700000286102295,26,0,0
2021-11-12,1.149999976158142,1.2699999809265137,1.100000023841858,1.100000023841858,23,0,0
2021-11-15,0.800000011920929,0.800000011920929,0.4699999988079071,0.4699999988079071,18,0,0
2021-11-16,0.25,0.25,0.15000000596046448,0.1899999976158142,29,0,0
2021-11-18,0.05000000074505806,0.25,0.05000000074505806,0.05000000074505806,8,0,0
2021-11-19,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,4,0,0
