Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-22,11.85,11.85,11.85,11.85,16,0,0
2021-03-23,9.38,9.38,8.76,8.76,52,0,0
2021-03-25,10.1,10.7,10.1,10.1,18,0,0
2021-03-26,11.2,11.2,11.2,11.2,0,0,0
2021-03-29,10.65,10.65,10.65,10.65,1,0,0
2021-04-01,10.3,10.97,10.3,10.97,13,0,0
2021-04-07,8.57,8.57,8.45,8.51,29,0,0
2021-04-08,8.15,8.73,8.15,8.4,21,0,0
2021-04-09,6.95,7.87,6.95,7.87,30,0,0
2021-04-12,6.5,6.9,6.5,6.9,27,0,0
2021-04-13,6.15,8.7,6.15,8.7,109,0,0
2021-04-14,10.4,10.4,10.1,10.1,29,0,0
2021-04-15,10.2,10.57,10.2,10.5,76,0,0
2021-04-16,10.15,10.15,9.63,9.63,19,0,0
2021-04-19,9.57,9.57,8.59,8.59,12,0,0
2021-04-20,7.3,7.3,7.3,7.3,20,0,0
2021-04-21,7.72,7.72,7.72,7.72,1,0,0
2021-04-23,8.4,8.4,8.4,8.4,5,0,0
2021-04-26,10.1,10.1,10.1,10.1,1,0,0
2021-04-28,9.1,9.65,9.1,9.1,13,0,0
2021-04-29,4.0,5.45,3.98,4.9,1347,0,0
2021-04-30,4.4,4.9,3.54,3.69,1620,0,0
2021-05-03,3.9,4.49,3.9,4.24,304,0,0
2021-05-04,2.9,3.8,2.54,3.7,26256,0,0
2021-05-05,3.15,3.15,1.13,1.33,94807,0,0
2021-05-06,0.6,0.82,0.36,0.52,8414,0,0
2021-05-07,0.44,0.63,0.3,0.34,17583,0,0
2021-05-10,0.49,0.49,0.24,0.24,5773,0,0
2021-05-11,0.23,0.31,0.19,0.21,362,0,0
2021-05-12,0.14,0.15,0.1,0.11,201,0,0
2021-05-13,0.12,0.12,0.03,0.03,83,0,0
2021-05-14,0.08,0.12,0.08,0.11,1826,0,0
2021-05-17,0.06,0.09,0.04,0.05,12558,0,0
2021-05-18,0.19,0.4,0.16,0.16,21679,0,0
2021-05-19,0.09,0.26,0.09,0.18,2906,0,0
2021-05-20,0.09,0.15,0.03,0.04,3060,0,0
2021-05-21,0.03,0.04,0.01,0.01,1171,0,0
