Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-22,4.4,4.59,4.4,4.59,49,0,0
2021-03-23,5.4,5.75,5.4,5.75,21,0,0
2021-03-24,5.35,5.7,5.35,5.52,152,0,0
2021-03-25,6.2,6.2,5.0,5.0,738,0,0
2021-03-26,4.92,4.92,4.92,4.92,0,0,0
2021-03-30,5.2,5.2,4.65,4.65,170,0,0
2021-03-31,4.37,5.1,4.37,4.45,1245,0,0
2021-04-01,4.33,4.4,4.09,4.09,197,0,0
2021-04-05,3.98,4.07,3.7,3.7,44,0,0
2021-04-06,3.55,3.77,3.55,3.77,10,0,0
2021-04-07,3.9,4.97,3.9,4.8,128,0,0
2021-04-08,5.1,5.2,4.75,4.75,244,0,0
2021-04-09,5.15,5.34,5.1,5.15,107,0,0
2021-04-12,5.72,5.72,5.72,5.72,0,0,0
2021-04-13,5.7,5.7,4.4,4.4,445,0,0
2021-04-14,3.7,4.07,3.25,4.07,599,0,0
2021-04-15,3.85,3.85,3.15,3.15,757,0,0
2021-04-16,3.2,3.6,3.2,3.54,291,0,0
2021-04-19,3.7,4.28,3.6,4.28,383,0,0
2021-04-20,5.4,5.5,5.4,5.5,18,0,0
2021-04-21,5.18,5.18,4.67,4.8,140,0,0
2021-04-22,4.45,4.45,4.45,4.45,1,0,0
2021-04-23,3.95,3.95,3.4,3.4,2995,0,0
2021-04-26,3.05,3.25,3.05,3.25,271,0,0
2021-04-27,2.64,3.55,2.64,3.55,1086,0,0
2021-04-28,3.5,3.5,3.22,3.22,45,0,0
2021-04-29,3.18,8.07,3.18,8.07,374,0,0
2021-04-30,7.52,7.52,6.75,6.75,11,0,0
2021-05-03,7.12,7.12,6.67,6.67,22,0,0
2021-05-04,8.2,8.8,8.2,8.4,16,0,0
2021-05-05,6.9,9.85,6.9,9.85,108,0,0
2021-05-06,13.7,13.7,13.7,13.7,3,0,0
2021-05-10,12.89,12.89,12.89,12.89,4,0,0
2021-05-11,13.6,13.6,13.6,13.6,1,0,0
2021-05-12,15.32,15.32,15.32,15.32,1,0,0
2021-05-13,16.29,16.29,16.29,16.29,0,0,0
2021-05-18,10.47,10.47,10.47,10.47,8,0,0
2021-05-19,11.25,11.25,10.86,10.96,41,0,0
2021-05-20,11.72,11.72,11.72,11.72,1,0,0
2021-05-21,9.31,9.31,9.19,9.19,6,0,0
