Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-15,2.15,2.38,1.98,2.12,1034,0,0
2021-03-16,1.51,1.56,1.43,1.44,33,0,0
2021-03-17,1.91,1.91,1.51,1.6,29,0,0
2021-03-18,2.06,2.38,2.02,2.37,141,0,0
2021-03-19,2.45,2.45,1.97,1.99,2632,0,0
2021-03-22,1.86,1.86,1.14,1.15,101,0,0
2021-03-23,1.07,1.07,0.88,0.9,525,0,0
2021-03-24,1.15,1.28,1.13,1.22,128,0,0
2021-03-25,1.37,1.9,1.37,1.7,195,0,0
2021-03-26,1.44,1.49,1.1,1.1,53,0,0
2021-03-29,1.4,1.4,1.28,1.31,486,0,0
2021-03-30,1.35,1.5,1.34,1.39,1032,0,0
2021-03-31,1.28,1.28,0.86,0.89,399,0,0
2021-04-01,0.88,0.88,0.55,0.6,1249,0,0
2021-04-05,0.48,0.48,0.41,0.43,384,0,0
2021-04-06,0.36,0.4,0.36,0.4,484,0,0
2021-04-07,0.38,0.4,0.37,0.37,845,0,0
2021-04-08,0.62,0.62,0.31,0.35,237,0,0
2021-04-09,0.3,0.3,0.26,0.26,59,0,0
2021-04-12,0.29,0.29,0.25,0.25,36,0,0
2021-04-13,0.23,0.23,0.18,0.18,142,0,0
2021-04-14,0.18,0.2,0.18,0.18,32,0,0
2021-04-15,0.14,0.14,0.14,0.14,1,0,0
2021-04-16,0.14,0.16,0.12,0.12,472,0,0
2021-04-19,0.11,0.13,0.11,0.13,172,0,0
2021-04-20,0.12,0.12,0.1,0.11,4555,0,0
2021-04-21,0.1,0.1,0.08,0.08,202,0,0
2021-04-22,0.09,0.09,0.08,0.08,70,0,0
2021-04-23,0.07,0.07,0.04,0.04,92,0,0
2021-04-26,0.03,0.04,0.02,0.02,514,0,0
2021-04-27,0.01,0.04,0.01,0.01,1045,0,0
2021-04-28,0.03,0.03,0.01,0.03,96,0,0
2021-04-29,0.01,0.01,0.01,0.01,3,0,0
2021-04-30,0.03,0.03,0.01,0.01,60,0,0
