Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-10,5.38,5.38,4.41,4.41,221,0,0
2021-05-11,3.8,4.17,3.8,4.17,79,0,0
2021-05-12,3.33,3.33,2.69,2.84,569,0,0
2021-05-13,3.81,3.81,3.2,3.3,1139,0,0
2021-05-14,4.18,4.38,3.4,4.17,2280,0,0
2021-05-17,3.29,3.29,2.84,2.92,179,0,0
2021-05-18,2.95,3.09,2.43,2.43,230,0,0
2021-05-19,2.16,2.63,2.16,2.45,505,0,0
2021-05-20,3.4,3.7,3.25,3.38,260,0,0
2021-05-21,3.38,3.45,2.6,2.73,748,0,0
2021-05-24,3.0,4.0,3.0,3.7,4105,0,0
2021-05-25,4.05,4.3,3.9,4.25,754,0,0
2021-05-26,3.93,4.05,3.6,3.7,2328,0,0
2021-05-27,3.5,3.54,2.88,2.96,2752,0,0
2021-05-28,3.3,3.7,2.9,2.9,6365,0,0
2021-06-01,2.83,2.83,1.81,1.81,7488,0,0
2021-06-02,1.97,2.17,1.36,1.63,6991,0,0
2021-06-03,1.55,1.55,0.99,1.34,8056,0,0
2021-06-04,1.6,2.72,1.6,2.44,23996,0,0
2021-06-07,2.11,3.67,2.11,3.67,70511,0,0
2021-06-08,3.85,4.49,2.9,2.94,80731,0,0
2021-06-09,3.6,4.05,3.2,3.29,43545,0,0
2021-06-10,3.15,4.91,3.15,4.86,45473,0,0
2021-06-11,5.05,5.5,4.2,4.9,24114,0,0
2021-06-14,4.5,6.0,4.2,6.0,45051,0,0
2021-06-15,6.4,6.4,4.8,5.1,15907,0,0
2021-06-16,5.93,6.54,3.05,4.48,62578,0,0
2021-06-17,3.74,7.42,3.74,7.15,52563,0,0
2021-06-18,6.25,7.58,5.35,5.35,14972,0,0
2021-06-21,5.21,8.75,4.5,8.15,51831,0,0
2021-06-22,7.7,10.76,7.7,10.76,13463,0,0
2021-06-23,10.94,11.35,9.6,10.28,29735,0,0
