Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-05,3.57,4.85,2.85,4.85,586,0,0
2021-03-08,4.1,5.1,3.05,3.25,291,0,0
2021-03-09,4.15,6.7,3.9,6.25,541,0,0
2021-03-10,6.9,6.9,6.0,6.39,17,0,0
2021-03-11,7.6,9.15,7.6,9.15,17,0,0
2021-03-15,8.75,8.75,8.7,8.75,2,0,0
2021-03-22,6.9,7.03,6.9,7.03,5,0,0
2021-03-24,3.75,3.75,2.4,2.46,12031,0,0
2021-03-25,1.82,3.4,1.79,2.89,21128,0,0
2021-03-26,1.92,2.07,1.4,1.96,24557,0,0
2021-03-29,1.78,2.0,1.06,1.26,52258,0,0
2021-03-30,1.12,2.18,1.0,1.97,180575,0,0
2021-03-31,2.58,2.85,1.92,2.73,210941,0,0
2021-04-01,4.3,4.61,2.77,2.8,33540,0,0
2021-04-05,3.15,3.3,2.27,2.38,15632,0,0
2021-04-06,2.0,3.05,2.0,2.7,4937,0,0
2021-04-07,2.02,2.05,0.8,0.86,641778,0,0
2021-04-08,1.02,1.86,0.95,1.39,386604,0,0
2021-04-09,0.57,0.75,0.15,0.57,4620440,0,0
