Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-17,8.09,8.09,5.95,5.95,8,0,0
2021-05-18,5.46,5.46,5.46,5.46,20,0,0
2021-05-19,6.67,6.67,6.67,6.67,0,0,0
2021-05-24,4.82,4.82,4.0,4.0,3,0,0
2021-05-25,3.95,3.95,3.95,3.95,1,0,0
2021-05-27,2.95,2.95,2.66,2.66,3,0,0
2021-05-28,2.65,2.76,2.52,2.76,29,0,0
2021-06-01,1.62,1.62,1.41,1.41,62,0,0
2021-06-02,1.39,1.63,1.39,1.63,12,0,0
2021-06-03,1.64,1.64,1.64,1.64,19,0,0
2021-06-04,1.22,1.3,1.22,1.24,133,0,0
2021-06-07,0.95,0.95,0.91,0.91,114,0,0
2021-06-08,0.76,0.92,0.76,0.88,35,0,0
2021-06-09,0.86,0.9,0.83,0.9,10,0,0
2021-06-10,0.84,0.87,0.71,0.75,499,0,0
2021-06-11,0.71,0.71,0.39,0.39,102,0,0
2021-06-14,0.32,0.32,0.24,0.26,285,0,0
2021-06-15,0.27,0.32,0.27,0.32,109,0,0
2021-06-16,0.45,0.45,0.4,0.43,180,0,0
2021-06-17,0.24,0.24,0.17,0.17,54,0,0
2021-06-18,0.19,0.19,0.19,0.19,4,0,0
2021-06-21,0.26,0.26,0.2,0.2,9,0,0
2021-06-22,0.28,0.38,0.26,0.38,139,0,0
2021-06-23,0.2,0.2,0.11,0.12,178,0,0
2021-06-24,0.11,0.12,0.09,0.12,55,0,0
