Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-08,2.5,2.5,2.0,2.0,4,0,0
2021-03-09,3.5,3.55,3.5,3.55,7,0,0
2021-03-10,2.6,2.6,2.6,2.6,1,0,0
2021-03-11,6.2,6.2,5.81,5.81,5,0,0
2021-03-12,4.47,4.47,4.47,4.47,0,0,0
2021-03-16,5.1,5.1,4.8,4.8,23,0,0
2021-03-17,2.19,2.5,2.19,2.5,17,0,0
2021-03-18,0.97,0.97,0.97,0.97,0,0,0
2021-03-19,0.9,0.92,0.85,0.92,13,0,0
2021-03-22,0.35,0.35,0.35,0.35,1,0,0
2021-03-23,0.47,0.88,0.47,0.53,6,0,0
2021-03-26,1.31,1.31,1.31,1.31,1,0,0
2021-04-06,1.34,1.34,1.34,1.34,2,0,0
2021-04-09,0.22,0.22,0.22,0.22,2,0,0
