Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-06,9.85,9.85,9.85,9.85,3,0,0
2021-04-07,10.48,10.48,10.48,10.48,1,0,0
2021-04-14,15.7,15.7,14.07,14.07,4,0,0
2021-04-15,16.2,16.2,16.2,16.2,2,0,0
2021-04-23,10.08,10.08,10.08,10.08,1,0,0
2021-04-29,10.38,10.38,10.38,10.38,1,0,0
2021-04-30,11.77,11.77,11.77,11.77,5,0,0
2021-05-03,11.08,11.08,11.08,11.08,2,0,0
2021-05-06,10.0,10.0,10.0,10.0,1,0,0
2021-05-07,13.0,13.0,11.35,12.01,11,0,0
2021-05-10,19.84,19.84,19.84,19.84,1,0,0
2021-05-11,22.94,22.94,22.94,22.94,2,0,0
2021-05-14,27.74,27.74,27.74,27.74,1,0,0
