Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-01,13.5,13.5,13.5,13.5,0,0,0
2021-02-02,10.6,10.6,10.6,10.6,9,0,0
2021-02-04,7.0,7.94,7.0,7.94,25,0,0
2021-02-05,3.45,4.55,3.45,4.55,74,0,0
2021-02-08,4.15,5.0,4.15,5.0,662,0,0
2021-02-09,4.2,4.35,3.3,3.95,16035,0,0
2021-02-10,3.1,4.35,3.0,3.3,221,0,0
2021-02-11,1.87,2.32,1.87,1.9,185,0,0
2021-02-12,1.79,2.0,1.72,2.0,28,0,0
2021-02-16,0.92,1.2,0.9,0.9,34,0,0
2021-02-17,1.6,1.91,1.6,1.65,99,0,0
2021-02-19,0.94,1.05,0.86,0.93,459,0,0
2021-02-22,0.94,2.09,0.94,2.09,141984,0,0
2021-02-23,5.65,6.05,1.13,1.15,1628,0,0
2021-02-24,1.1,1.28,0.94,1.28,118,0,0
2021-02-25,1.0,2.83,1.0,2.83,2935,0,0
2021-02-26,2.15,3.7,1.74,1.75,6873,0,0
2021-03-01,1.0,1.1,0.59,0.62,5237,0,0
2021-03-02,0.36,0.95,0.36,0.85,827,0,0
2021-03-03,0.92,4.5,0.92,4.0,8193,0,0
2021-03-04,7.4,11.0,5.47,9.3,303,0,0
2021-03-05,8.5,16.2,8.5,10.02,1232,0,0
