Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-26,6.65,6.65,5.59,5.59,5,0,0
2020-10-27,5.5,5.83,5.5,5.83,3,0,0
2020-10-28,5.4,5.7,5.3,5.7,8,0,0
2020-10-29,11.34,15.2,10.65,10.95,900,0,0
2020-10-30,10.25,10.27,9.2,10.27,42,0,0
2020-11-02,9.1,9.1,7.7,8.52,173,0,0
2020-11-04,9.2,9.57,9.2,9.57,7,0,0
2020-11-05,9.81,10.5,9.81,10.35,130,0,0
2020-11-06,10.0,10.9,10.0,10.87,30,0,0
2020-11-09,8.4,8.78,7.37,7.37,221,0,0
2020-11-10,6.4,6.6,5.0,6.22,6401,0,0
2020-11-11,7.25,8.2,7.2,8.05,35,0,0
2020-11-12,8.7,8.85,8.45,8.45,150,0,0
2020-11-13,8.92,9.9,8.55,9.9,393,0,0
2020-11-16,9.45,9.8,9.2,9.8,7616,0,0
2020-11-17,10.3,10.8,10.1,10.35,229,0,0
2020-11-18,10.95,11.55,10.7,11.01,1383,0,0
2020-11-19,11.6,12.2,11.4,11.75,1655,0,0
2020-11-20,12.32,12.56,12.2,12.56,108,0,0
2020-11-23,11.8,12.15,10.61,11.3,5386,0,0
2020-11-24,11.35,11.35,9.6,10.53,806,0,0
2020-11-25,12.0,12.55,11.52,12.55,843,0,0
2020-11-30,12.83,13.65,11.56,13.65,311,0,0
2020-12-01,14.17,14.17,12.15,12.6,854,0,0
2020-12-02,12.0,12.7,11.0,12.42,360,0,0
2020-12-03,13.4,14.22,13.3,13.34,2875,0,0
2020-12-04,13.0,13.3,11.8,11.8,1798,0,0
2020-12-07,13.1,13.87,13.09,13.5,923,0,0
2020-12-08,13.15,13.33,12.61,13.3,25442,0,0
2020-12-09,13.58,14.95,11.9,12.42,17650,0,0
2020-12-10,13.0,14.4,13.0,14.2,1106,0,0
2020-12-11,14.2,14.5,13.3,14.0,184,0,0
2020-12-17,13.4,13.4,13.4,13.4,0,0,0
2020-12-18,13.3,13.6,13.1,13.5,546,0,0
2020-12-21,13.8,13.8,12.05,12.71,472,0,0
2020-12-22,12.81,14.43,12.79,14.43,1563,0,0
2020-12-23,14.75,16.1,14.75,15.41,1290,0,0
2020-12-28,12.48,12.48,11.0,11.45,7019,0,0
2020-12-29,11.5,12.21,11.17,11.62,2521,0,0
2020-12-30,11.55,11.55,10.4,11.2,3523,0,0
2020-12-31,11.27,11.27,10.3,10.3,3591,0,0
2021-01-04,10.85,12.0,9.5,11.4,3113,0,0
2021-01-05,12.1,12.1,11.39,11.73,2690,0,0
2021-01-06,10.2,11.45,10.2,10.8,1717,0,0
2021-01-07,11.6,13.2,11.6,13.1,7116,0,0
2021-01-08,13.4,14.0,12.05,13.2,1699,0,0
2021-01-11,12.5,14.2,11.9,13.44,1894,0,0
