Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-09,1.65,1.65,1.65,1.65,10,0,0
2021-03-11,1.35,1.35,1.35,1.35,0,0,0
2021-03-12,1.03,1.03,0.84,0.84,7,0,0
2021-03-15,0.5,0.84,0.5,0.5,15,0,0
2021-03-18,0.31,0.7,0.31,0.7,140,0,0
2021-03-19,0.63,0.63,0.63,0.63,2,0,0
2021-03-22,0.76,1.11,0.33,0.36,923,0,0
2021-03-23,0.44,0.77,0.44,0.77,179,0,0
2021-03-24,0.72,3.05,0.72,2.66,24295,0,0
2021-03-25,3.15,3.55,1.8,1.85,2414,0,0
2021-03-26,1.92,2.4,1.55,1.6,34374,0,0
2021-03-29,1.57,2.75,1.39,2.12,20992,0,0
2021-03-30,3.15,3.15,1.49,1.86,9937,0,0
2021-03-31,0.98,0.98,0.17,0.27,361475,0,0
2021-04-01,0.12,0.12,0.01,0.01,7650,0,0
