Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-22,2.5,2.5,2.5,2.5,1,0,0
2021-03-25,0.85,0.85,0.85,0.85,1,0,0
2021-04-06,1.85,1.85,1.85,1.85,1,0,0
2021-04-07,3.17,3.17,2.85,2.85,6,0,0
2021-04-08,3.7,3.7,3.7,3.7,2,0,0
2021-04-09,3.84,3.95,3.84,3.95,33,0,0
2021-04-12,3.02,3.2,3.02,3.19,38,0,0
2021-04-13,2.92,3.22,2.92,3.22,15,0,0
2021-04-14,4.4,4.4,2.8,2.8,50,0,0
2021-04-15,3.5,3.75,3.5,3.75,11,0,0
2021-04-16,3.0,3.0,2.51,2.63,12,0,0
2021-04-19,2.57,2.57,2.23,2.45,437,0,0
2021-04-20,2.31,2.31,1.76,1.85,53,0,0
2021-04-21,1.86,2.0,1.55,1.63,1212,0,0
2021-04-22,1.53,1.54,0.86,0.97,5002,0,0
2021-04-23,0.89,0.89,0.13,0.45,34752,0,0
2021-04-26,0.29,0.29,0.14,0.16,2369,0,0
2021-04-27,0.2,0.5,0.2,0.2,25179,0,0
2021-04-28,0.07,0.25,0.07,0.2,1000,0,0
2021-04-29,0.17,0.41,0.04,0.08,7454,0,0
2021-04-30,0.04,0.05,0.01,0.01,741,0,0
