Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-16,0.35,0.35,0.35,0.35,0,0,0
2021-02-23,0.7,0.7,0.6,0.6,4,0,0
2021-02-24,0.35,0.35,0.3,0.3,14,0,0
2021-02-26,0.45,0.45,0.45,0.45,1,0,0
2021-03-01,0.15,0.15,0.15,0.15,2,0,0
2021-03-03,0.35,0.82,0.35,0.82,39,0,0
2021-03-04,1.0,1.0,0.5,0.85,455,0,0
2021-03-05,1.34,2.35,0.75,0.75,553,0,0
2021-03-08,0.45,1.25,0.18,1.19,1349,0,0
2021-03-09,0.26,0.26,0.26,0.26,64,0,0
2021-03-10,0.15,0.17,0.1,0.17,194,0,0
2021-03-11,0.07,0.1,0.03,0.03,63,0,0
2021-03-12,0.05,0.05,0.01,0.05,27,0,0
