Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-17,3.54,3.54,3.54,3.54,0,0,0
2021-05-18,6.29,6.29,6.29,6.29,2,0,0
2021-05-19,7.84,7.84,7.84,7.84,3,0,0
2021-05-20,8.44,8.44,7.46,7.46,9,0,0
2021-05-21,8.1,8.1,8.1,8.1,1,0,0
2021-05-24,6.5,6.5,6.5,6.5,1,0,0
2021-05-25,5.0,5.0,5.0,5.0,0,0,0
2021-05-26,5.66,5.8,5.47,5.8,30,0,0
2021-05-27,5.0,6.61,4.9,6.61,25,0,0
2021-05-28,4.82,5.7,4.82,4.9,6,0,0
2021-06-01,5.0,5.5,4.6,4.6,87,0,0
2021-06-02,5.6,5.7,4.6,5.7,19,0,0
2021-06-03,4.0,4.0,4.0,4.0,12,0,0
2021-06-04,5.1,5.1,4.2,4.4,15,0,0
2021-06-07,5.0,7.4,4.95,6.6,845,0,0
2021-06-08,8.0,8.0,5.42,6.48,481,0,0
2021-06-09,6.3,7.5,4.7,4.7,397,0,0
2021-06-10,4.0,4.8,3.5,4.5,1769,0,0
2021-06-11,1.85,2.8,1.7,2.2,6001,0,0
2021-06-14,2.85,3.1,1.55,2.0,3974,0,0
2021-06-15,1.75,2.15,1.31,1.32,1027,0,0
2021-06-16,1.4,1.4,0.86,1.0,1014,0,0
2021-06-17,0.55,1.85,0.55,1.4,2560,0,0
2021-06-18,1.3,1.9,1.25,1.7,4708,0,0
2021-06-21,0.89,1.1,0.43,0.65,21694,0,0
2021-06-22,0.8,1.55,0.54,0.63,108522,0,0
2021-06-23,0.55,0.55,0.25,0.35,4312,0,0
2021-06-24,0.3,0.65,0.15,0.2,4074,0,0
