Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-09,225.1,225.1,225.1,225.1,10,0,0
2021-03-11,247.9,251.55,247.9,251.55,34,0,0
2021-03-12,237.85,237.85,237.85,237.85,0,0,0
2021-03-15,237.85,257.65,237.85,257.65,6,0,0
2021-03-16,257.95,257.95,230.54,230.54,14,0,0
2021-03-17,211.54,255.05,211.54,252.5,319,0,0
2021-03-18,241.0,241.0,220.9,220.9,11,0,0
2021-03-19,200.5,211.45,198.85,211.45,2055,0,0
2021-03-22,233.21,243.49,233.21,243.49,13,0,0
2021-03-23,221.55,221.55,211.55,211.55,70,0,0
2021-03-24,192.13,192.13,186.38,186.38,24,0,0
2021-03-25,178.5,198.05,178.5,198.05,175,0,0
2021-03-26,191.65,191.65,161.45,168.43,353,0,0
2021-03-29,167.0,167.3,162.7,166.45,142,0,0
2021-03-30,156.35,188.65,156.35,185.98,999,0,0
2021-03-31,199.0,221.05,199.0,219.5,254,0,0
2021-04-01,233.55,233.55,219.28,219.28,31,0,0
2021-04-05,258.62,258.62,239.9,251.0,103,0,0
2021-04-06,238.75,242.03,238.75,242.03,6,0,0
2021-04-08,232.95,234.62,232.95,234.62,5,0,0
2021-04-09,221.26,225.82,221.26,222.45,14,0,0
2021-04-12,252.27,252.65,247.17,250.2,102,0,0
2021-04-13,304.09,308.42,304.09,308.42,5,0,0
2021-04-14,320.68,320.82,287.55,287.55,43,0,0
2021-04-15,293.28,293.28,279.31,279.45,39,0,0
2021-04-16,284.03,295.24,281.4,289.9,114,0,0
