Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-01,16.65,16.65,15.95,16.0,74,0,0
2021-03-02,15.6,18.27,15.0,18.27,976,0,0
2021-03-03,18.75,27.5,18.75,27.5,267,0,0
2021-03-04,24.99,44.05,24.99,38.85,1548,0,0
2021-03-05,41.35,72.14,41.35,43.08,9101,0,0
2021-03-08,45.6,58.55,38.25,56.5,25885,0,0
2021-03-09,39.46,42.55,21.46,21.46,10990,0,0
2021-03-10,17.57,27.27,15.72,26.1,2242,0,0
2021-03-11,18.85,21.0,17.7,17.7,2242,0,0
2021-03-12,22.55,22.55,17.5,17.5,2159,0,0
2021-03-15,16.96,16.96,12.08,12.08,868,0,0
2021-03-16,12.4,17.84,11.7,15.99,1254,0,0
2021-03-17,19.5,22.1,12.25,12.25,2076,0,0
2021-03-18,16.5,21.8,15.0,21.35,11885,0,0
2021-03-19,24.03,27.35,17.52,17.52,10814,0,0
2021-03-22,11.75,13.2,9.2,12.05,6422,0,0
2021-03-23,12.45,12.45,9.95,11.6,362,0,0
2021-03-24,11.85,17.75,10.34,17.75,4474,0,0
2021-03-25,22.51,22.51,13.19,13.67,5445,0,0
2021-03-26,13.35,23.97,12.76,19.1,11215,0,0
2021-03-29,19.12,24.67,18.2,19.1,13849,0,0
2021-03-30,21.2,24.35,10.7,10.98,27035,0,0
2021-03-31,8.84,8.84,4.9,4.97,167320,0,0
2021-04-01,3.49,5.1,3.27,4.6,10384,0,0
2021-04-05,1.93,2.59,1.72,1.98,10593,0,0
2021-04-06,1.93,2.09,1.3,1.3,2815,0,0
2021-04-07,1.48,1.62,1.09,1.48,1739,0,0
2021-04-08,1.22,1.24,0.65,0.65,3186,0,0
2021-04-09,0.72,0.8,0.5,0.53,5929,0,0
2021-04-12,0.35,0.43,0.22,0.36,10501,0,0
2021-04-13,0.25,0.25,0.12,0.15,3480,0,0
2021-04-14,0.12,0.14,0.08,0.13,25467,0,0
2021-04-15,0.04,0.09,0.03,0.03,1163,0,0
2021-04-16,0.02,0.02,0.01,0.01,420,0,0
