Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-16,9.9,9.9,9.0,9.03,3,0,0
2020-11-17,9.55,9.55,9.55,9.55,1,0,0
2020-11-18,10.45,10.45,10.21,10.21,11,0,0
2020-11-20,10.25,10.25,10.25,10.25,4,0,0
2020-11-23,10.5,10.5,10.5,10.5,3,0,0
2020-11-25,12.25,12.25,12.25,12.25,2,0,0
2020-12-21,19.8,19.8,19.8,19.8,1,0,0
2020-12-28,19.75,19.75,19.75,19.75,0,0,0
2021-01-11,12.4,14.7,12.4,13.6,27,0,0
2021-01-12,13.85,13.85,12.5,12.5,85,0,0
2021-01-14,11.5,11.5,11.2,11.2,11,0,0
2021-01-15,11.3,11.3,11.22,11.22,3,0,0
2021-01-19,10.2,11.5,10.2,11.4,13,0,0
2021-01-20,11.94,11.94,11.94,11.94,3,0,0
2021-01-26,16.4,16.4,15.05,15.05,116,0,0
2021-01-27,15.05,15.05,14.2,14.2,30,0,0
2021-01-28,16.3,16.3,16.3,16.3,4,0,0
2021-01-29,15.65,16.6,15.6,15.97,39,0,0
2021-02-02,19.24,19.82,19.24,19.82,17,0,0
2021-02-03,19.7,19.7,19.7,19.7,9,0,0
2021-02-04,21.33,21.33,21.33,21.33,9,0,0
2021-02-09,24.4,24.4,24.4,24.4,2,0,0
2021-02-10,28.2,28.2,28.2,28.2,0,0,0
2021-02-17,36.95,36.95,36.95,36.95,1,0,0
2021-02-18,37.57,37.57,37.57,37.57,2,0,0
