Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-21,3.1,3.1,3.1,3.1,13,0,0
2021-01-22,3.1,3.1,2.86,2.86,0,0,0
2021-01-25,2.77,3.21,2.77,3.21,14,0,0
2021-01-26,2.48,2.48,2.02,2.33,28,0,0
2021-01-27,2.93,2.93,2.89,2.89,37,0,0
2021-01-28,2.17,2.17,2.14,2.17,98,0,0
2021-01-29,2.35,2.79,2.35,2.45,63,0,0
2021-02-01,2.09,2.09,2.09,2.09,7,0,0
2021-02-02,1.5,1.5,1.29,1.29,8,0,0
2021-02-03,1.2,1.25,1.2,1.2,163,0,0
2021-02-04,1.09,1.09,1.03,1.03,39,0,0
2021-02-05,0.88,0.89,0.85,0.85,34,0,0
2021-02-08,0.94,0.94,0.6,0.63,98,0,0
2021-02-09,0.67,0.67,0.56,0.61,145,0,0
2021-02-10,0.1,0.19,0.1,0.14,69,0,0
2021-02-11,0.15,0.15,0.14,0.14,24,0,0
2021-02-12,0.1,0.11,0.1,0.11,14,0,0
2021-02-16,0.13,0.13,0.08,0.08,23,0,0
2021-02-19,0.04,0.04,0.04,0.04,21,0,0
2021-02-26,0.01,0.03,0.01,0.02,317,0,0
2021-03-01,0.01,0.01,0.01,0.01,2,0,0
