Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-02,3.75,3.75,3.6,3.6,3,0,0
2021-03-03,5.4,5.4,4.7,4.7,3,0,0
2021-03-08,2.99,2.99,2.9,2.9,39,0,0
2021-03-10,5.35,5.35,5.14,5.14,8,0,0
2021-03-17,3.75,3.75,3.75,3.75,1,0,0
2021-03-19,3.45,4.08,3.45,4.08,33,0,0
2021-03-22,3.25,3.25,3.25,3.25,1,0,0
2021-03-23,2.57,2.57,1.53,1.6,319,0,0
2021-03-24,2.1,2.12,1.35,1.35,70,0,0
2021-03-25,1.35,1.85,1.35,1.85,16,0,0
2021-03-26,1.98,2.24,1.61,1.98,64,0,0
2021-03-29,1.26,1.35,1.1,1.15,700,0,0
2021-03-30,1.21,1.38,1.01,1.15,2850,0,0
2021-03-31,1.22,1.72,1.05,1.46,13525,0,0
2021-04-01,1.67,3.35,1.67,3.35,1493,0,0
2021-04-05,3.46,3.46,2.69,3.05,775,0,0
2021-04-06,4.0,4.3,3.67,3.67,1041,0,0
2021-04-07,3.15,3.15,1.87,2.3,6761,0,0
2021-04-08,3.25,3.25,3.06,3.06,130,0,0
2021-04-09,2.0,3.02,2.0,3.02,799,0,0
